"Points","200m","300m","400m","500m","4x200m","4x400m"
"1239","22.37","35.65","50.00","1:05.47","1:29.52","3:21.27"
"1238","22.38","35.67","50.03","1:05.51","1:29.57","3:21.38"
"1237","22.39","35.69","50.05","1:05.54","1:29.62","3:21.49"
"1236","22.40","35.70","50.08","1:05.58","1:29.67","3:21.61"
"1235","22.41","35.72","50.10","1:05.61","1:29.72","3:21.72"
"1234","22.42","35.74","50.13","1:05.64","1:29.77","3:21.84"
"1233","22.43","35.76","50.15","1:05.68","1:29.82","3:21.95"
"1232","22.44","35.77","50.18","1:05.71","1:29.87","3:22.07"
"1231","22.45","35.79","50.20","1:05.75","1:29.92","3:22.18"
"1230","22.46","35.81","50.23","1:05.78","1:29.97","3:22.30"
"1229","22.47","35.83","50.25","1:05.82","1:30.02","3:22.41"
"1228","22.48","35.84","50.28","1:05.85","1:30.07","3:22.52"
"1227","22.49","35.86","50.30","1:05.89","1:30.12","3:22.64"
"1226","22.50","35.88","50.33","1:05.92","1:30.16","3:22.75"
"1225","22.51","35.90","50.35","1:05.95","1:30.21","3:22.87"
"1224","22.52","35.91","50.38","1:05.99","1:30.26","3:22.98"
"1223","22.53","35.93","50.40","1:06.02","1:30.31","3:23.10"
"1222","22.54","35.95","50.43","1:06.06","1:30.36","3:23.21"
"1221","22.55","35.97","50.45","1:06.09","1:30.41","3:23.33"
"1220","22.56","35.98","50.48","1:06.13","1:30.46","3:23.44"
"1219","22.57","36.00","50.51","1:06.16","1:30.51","3:23.56"
"1218","22.58","36.02","50.53","1:06.20","1:30.56","3:23.67"
"1217","22.59","36.04","50.56","1:06.23","1:30.61","3:23.79"
"1216","22.60","36.06","50.58","1:06.27","1:30.66","3:23.90"
"1215","22.61","36.07","50.61","1:06.30","1:30.71","3:24.02"
"1214","22.62","36.09","50.63","1:06.34","1:30.76","3:24.13"
"1213","22.63","36.11","50.66","1:06.37","1:30.81","3:24.25"
"1212","22.64","36.13","50.68","1:06.40","1:30.86","3:24.36"
"1211","22.65","36.14","50.71","1:06.44","1:30.91","3:24.48"
"1210","22.66","36.16","50.73","1:06.47","1:30.96","3:24.59"
"1209","22.67","36.18","50.76","1:06.51","1:31.01","3:24.71"
"1208","22.68","36.20","50.78","1:06.54","1:31.06","3:24.83"
"1207","22.69","36.21","50.81","1:06.58","1:31.11","3:24.94"
"1206","22.70","36.23","50.83","1:06.61","1:31.16","3:25.06"
"1205","22.71","36.25","50.86","1:06.65","1:31.21","3:25.17"
"1204","22.72","36.27","50.88","1:06.68","1:31.26","3:25.29"
"1203","22.73","36.29","50.91","1:06.72","1:31.31","3:25.40"
"1202","22.74","36.30","50.94","1:06.75","1:31.36","3:25.52"
"1201","22.75","36.32","50.96","1:06.79","1:31.41","3:25.64"
"1200","22.76","36.34","50.99","1:06.82","1:31.46","3:25.75"
"1199","22.77","36.36","51.01","1:06.86","1:31.51","3:25.87"
"1198","22.78","36.37","51.04","1:06.89","1:31.56","3:25.98"
"1197","22.79","36.39","51.06","1:06.93","1:31.61","3:26.10"
"1196","22.81","36.41","51.09","1:06.96","1:31.66","3:26.22"
"1195","22.82","36.43","51.11","1:07.00","1:31.71","3:26.33"
"1194","22.83","36.45","51.14","1:07.03","1:31.77","3:26.45"
"1193","22.84","36.46","51.16","1:07.07","1:31.82","3:26.56"
"1192","22.85","36.48","51.19","1:07.10","1:31.87","3:26.68"
"1191","22.86","36.50","51.22","1:07.14","1:31.92","3:26.80"
"1190","22.87","36.52","51.24","1:07.17","1:31.97","3:26.91"
"1189","22.88","36.53","51.27","1:07.21","1:32.02","3:27.03"
"1188","22.89","36.55","51.29","1:07.24","1:32.07","3:27.15"
"1187","22.90","36.57","51.32","1:07.28","1:32.12","3:27.26"
"1186","22.91","36.59","51.34","1:07.31","1:32.17","3:27.38"
"1185","22.92","36.61","51.37","1:07.35","1:32.22","3:27.50"
"1184","22.93","36.62","51.39","1:07.38","1:32.27","3:27.61"
"1183","22.94","36.64","51.42","1:07.42","1:32.32","3:27.73"
"1182","22.95","36.66","51.45","1:07.45","1:32.37","3:27.85"
"1181","22.96","36.68","51.47","1:07.49","1:32.42","3:27.96"
"1180","22.97","36.70","51.50","1:07.52","1:32.47","3:28.08"
"1179","22.98","36.71","51.52","1:07.56","1:32.52","3:28.20"
"1178","22.99","36.73","51.55","1:07.59","1:32.57","3:28.31"
"1177","23.00","36.75","51.57","1:07.63","1:32.62","3:28.43"
"1176","23.01","36.77","51.60","1:07.66","1:32.67","3:28.55"
"1175","23.02","36.79","51.62","1:07.70","1:32.73","3:28.67"
"1174","23.03","36.80","51.65","1:07.73","1:32.78","3:28.78"
"1173","23.04","36.82","51.68","1:07.77","1:32.83","3:28.90"
"1172","23.05","36.84","51.70","1:07.80","1:32.88","3:29.02"
"1171","23.06","36.86","51.73","1:07.84","1:32.93","3:29.13"
"1170","23.08","36.88","51.75","1:07.87","1:32.98","3:29.25"
"1169","23.09","36.89","51.78","1:07.91","1:33.03","3:29.37"
"1168","23.10","36.91","51.81","1:07.95","1:33.08","3:29.49"
"1167","23.11","36.93","51.83","1:07.98","1:33.13","3:29.60"
"1166","23.12","36.95","51.86","1:08.02","1:33.18","3:29.72"
"1165","23.13","36.97","51.88","1:08.05","1:33.23","3:29.84"
"1164","23.14","36.98","51.91","1:08.09","1:33.29","3:29.96"
"1163","23.15","37.00","51.93","1:08.12","1:33.34","3:30.07"
"1162","23.16","37.02","51.96","1:08.16","1:33.39","3:30.19"
"1161","23.17","37.04","51.99","1:08.19","1:33.44","3:30.31"
"1160","23.18","37.06","52.01","1:08.23","1:33.49","3:30.43"
"1159","23.19","37.07","52.04","1:08.26","1:33.54","3:30.55"
"1158","23.20","37.09","52.06","1:08.30","1:33.59","3:30.66"
