"Points","HJ","PV","LJ","TJ","SP","Hept."
"1298","-","-","8.73","-","22.96","6782"
"1297","-","6.11","-","18.24","22.94","6777"
"1296","2.43","-","-","18.23","22.92","6772"
"1295","-","-","8.72","18.22","22.91","6767"
"1294","-","6.10","-","18.21","22.89","6763"
"1293","-","-","8.71","18.20","22.87","6758"
"1292","-","6.09","-","18.19","22.86","6753"
"1291","-","-","8.70","18.18","22.84","6748"
"1290","-","-","-","18.17","22.82","6744"
"1289","-","6.08","8.69","18.16","22.81","6739"
"1288","-","-","-","18.15","22.79","6734"
"1287","2.42","-","8.68","18.14","22.77","6729"
"1286","-","6.07","-","18.13","22.76","6725"
"1285","-","-","-","18.12","22.74","6720"
"1284","-","-","8.67","-","22.72","6715"
"1283","-","6.06","-","18.11","22.71","6710"
"1282","-","-","8.66","18.10","22.69","6706"
"1281","-","6.05","-","18.09","22.67","6701"
"1280","-","-","8.65","18.08","22.66","6696"
"1279","-","-","-","18.07","22.64","6691"
"1278","2.41","6.04","8.64","18.06","22.62","6686"
"1277","-","-","-","18.05","22.61","6682"
"1276","-","-","8.63","18.04","22.59","6677"
"1275","-","6.03","-","18.03","22.57","6672"
"1274","-","-","-","18.02","22.56","6667"
"1273","-","-","8.62","18.01","22.54","6663"
"1272","-","6.02","-","18.00","22.52","6658"
"1271","-","-","8.61","17.99","22.51","6653"
"1270","-","6.01","-","-","22.49","6648"
"1269","2.40","-","8.60","17.98","22.47","6644"
"1268","-","-","-","17.97","22.46","6639"
"1267","-","6.00","8.59","17.96","22.44","6634"
"1266","-","-","-","17.95","22.42","6629"
"1265","-","-","8.58","17.94","22.41","6624"
"1264","-","5.99","-","17.93","22.39","6620"
"1263","-","-","-","17.92","22.37","6615"
"1262","-","-","8.57","17.91","22.36","6610"
"1261","-","5.98","-","17.90","22.34","6605"
"1260","2.39","-","8.56","17.89","22.32","6601"
"1259","-","5.97","-","17.88","22.31","6596"
"1258","-","-","8.55","17.87","22.29","6591"
"1257","-","-","-","17.86","22.27","6586"
"1256","-","5.96","8.54","17.85","22.26","6581"
"1255","-","-","-","-","22.24","6577"
"1254","-","-","8.53","17.84","22.22","6572"
"1253","-","5.95","-","17.83","22.21","6567"
"1252","-","-","-","17.82","22.19","6562"
"1251","2.38","-","8.52","17.81","22.17","6558"
"1250","-","5.94","-","17.80","22.16","6553"
"1249","-","-","8.51","17.79","22.14","6548"
"1248","-","-","-","17.78","22.12","6543"
"1247","-","5.93","8.50","17.77","22.11","6538"
"1246","-","-","-","17.76","22.09","6534"
"1245","-","5.92","8.49","17.75","22.07","6529"
"1244","-","-","-","17.74","22.06","6524"
"1243","-","-","8.48","17.73","22.04","6519"
"1242","2.37","5.91","-","17.72","22.02","6515"
"1241","-","-","-","-","22.01","6510"
"1240","-","-","8.47","17.71","21.99","6505"
"1239","-","5.90","-","17.70","21.97","6500"
"1238","-","-","8.46","17.69","21.96","6495"
"1237","-","-","-","17.68","21.94","6491"
"1236","-","5.89","8.45","17.67","21.92","6486"
"1235","-","-","-","17.66","21.91","6481"
"1234","-","5.88","8.44","17.65","21.89","6476"
"1233","2.36","-","-","17.64","21.87","6472"
"1232","-","-","8.43","17.63","21.86","6467"
"1231","-","5.87","-","17.62","21.84","6462"
"1230","-","-","-","17.61","21.82","6457"
"1229","-","-","8.42","17.60","21.81","6452"
"1228","-","5.86","-","17.59","21.79","6448"
"1227","-","-","8.41","17.58","21.77","6443"
"1226","-","-","-","-","21.76","6438"
"1225","-","5.85","8.40","17.57","21.74","6433"
"1224","2.35","-","-","17.56","21.72","6428"
"1223","-","5.84","8.39","17.55","21.71","6424"
"1222","-","-","-","17.54","21.69","6419"
"1221","-","-","8.38","17.53","21.67","6414"
"1220","-","5.83","-","17.52","21.66","6409"
"1219","-","-","8.37","17.51","21.64","6405"
"1218","-","-","-","17.50","21.62","6400"
