"Points","HJ","PV","LJ","TJ","SP","Hept."
"807","-","-","6.46","13.60","14.72","4397"
"806","-","4.30","-","13.59","14.70","4392"
"805","-","-","6.45","13.58","14.68","4387"
"804","-","-","-","13.57","14.67","4382"
"803","-","4.29","6.44","13.56","14.65","4377"
"802","-","-","-","13.55","14.63","4372"
"801","1.87","4.28","6.43","13.54","14.62","4367"
"800","-","-","-","13.53","14.60","4362"
"799","-","-","6.42","13.52","14.58","4358"
"798","-","4.27","-","13.51","14.57","4353"
"797","-","-","6.41","13.50","14.55","4348"
"796","-","-","-","13.49","14.53","4343"
"795","-","4.26","-","13.48","14.52","4338"
"794","-","-","6.40","13.47","14.50","4333"
"793","-","4.25","-","13.46","14.48","4328"
"792","1.86","-","6.39","13.45","14.46","4323"
"791","-","-","-","13.44","14.45","4318"
"790","-","4.24","6.38","13.43","14.43","4313"
"789","-","-","-","13.42","14.41","4308"
"788","-","4.23","6.37","13.41","14.40","4303"
"787","-","-","-","13.40","14.38","4298"
"786","-","-","6.36","13.39","14.36","4293"
"785","-","4.22","-","13.38","14.35","4288"
"784","1.85","-","6.35","13.37","14.33","4283"
"783","-","-","-","13.36","14.31","4278"
"782","-","4.21","6.34","-","14.30","4273"
"781","-","-","-","13.35","14.28","4268"
"780","-","4.20","6.33","13.34","14.26","4263"
"779","-","-","-","13.33","14.25","4258"
"778","-","-","6.32","13.32","14.23","4253"
"777","-","4.19","-","13.31","14.21","4248"
"776","-","-","-","13.30","14.19","4243"
"775","1.84","-","6.31","13.29","14.18","4238"
"774","-","4.18","-","13.28","14.16","4233"
"773","-","-","6.30","13.27","14.14","4228"
"772","-","4.17","-","13.26","14.13","4223"
"771","-","-","6.29","13.25","14.11","4218"
"770","-","-","-","13.24","14.09","4213"
"769","-","4.16","6.28","13.23","14.08","4208"
"768","-","-","-","13.22","14.06","4204"
"767","-","-","6.27","13.21","14.04","4199"
"766","1.83","4.15","-","13.20","14.03","4194"
"765","-","-","6.26","13.19","14.01","4189"
"764","-","4.14","-","13.18","13.99","4184"
"763","-","-","6.25","13.17","13.98","4179"
"762","-","-","-","13.16","13.96","4174"
"761","-","4.13","6.24","13.15","13.94","4169"
"760","-","-","-","13.14","13.92","4164"
"759","-","-","6.23","13.13","13.91","4159"
"758","1.82","4.12","-","13.12","13.89","4154"
"757","-","-","-","13.11","13.87","4149"
"756","-","4.11","6.22","13.10","13.86","4144"
"755","-","-","-","13.09","13.84","4139"
"754","-","-","6.21","13.08","13.82","4134"
"753","-","4.10","-","13.07","13.81","4129"
"752","-","-","6.20","13.06","13.79","4124"
"751","-","-","-","13.05","13.77","4119"
"750","-","4.09","6.19","13.04","13.76","4114"
"749","1.81","-","-","-","13.74","4109"
"748","-","4.08","6.18","13.03","13.72","4104"
"747","-","-","-","13.02","13.70","4099"
"746","-","-","6.17","13.01","13.69","4094"
"745","-","4.07","-","13.00","13.67","4089"
"744","-","-","6.16","12.99","13.65","4084"
"743","-","-","-","12.98","13.64","4079"
"742","-","4.06","6.15","12.97","13.62","4074"
"741","1.80","-","-","12.96","13.60","4069"
"740","-","4.05","6.14","12.95","13.59","4064"
"739","-","-","-","12.94","13.57","4059"
"738","-","-","6.13","12.93","13.55","4054"
"737","-","4.04","-","12.92","13.54","4049"
"736","-","-","-","12.91","13.52","4044"
"735","-","4.03","6.12","12.90","13.50","4039"
"734","-","-","-","12.89","13.48","4034"
"733","-","-","6.11","12.88","13.47","4029"
"732","1.79","4.02","-","12.87","13.45","4024"
"731","-","-","6.10","12.86","13.43","4019"
"730","-","-","-","12.85","13.42","4014"
"729","-","4.01","6.09","12.84","13.40","4009"
"728","-","-","-","12.83","13.38","4004"
"727","-","4.00","6.08","12.82","13.37","3999"
"726","-","-","-","12.81","13.35","3994"
"725","-","-","6.07","12.80","13.33","3989"
"724","-","3.99","-","12.79","13.32","3984"
"723","1.78","-","6.06","12.78","13.30","3979"
"722","-","-","-","12.77","13.28","3974"
"721","-","3.98","6.05","12.76","13.27","3969"
"720","-","-","-","12.75","13.25","3964"
"719","-","3.97","6.04","12.74","13.23","3959"
"718","-","-","-","12.73","13.21","3954"
"717","-","-","6.03","12.72","13.20","3949"
"716","-","3.96","-","12.71","13.18","3944"
"715","1.77","-","-","12.70","13.16","3939"
"714","-","-","6.02","12.69","13.15","3934"
"713","-","3.95","-","-","13.13","3929"
"712","-","-","6.01","12.68","13.11","3924"
"711","-","3.94","-","12.67","13.10","3919"
"710","-","-","6.00","12.66","13.08","3914"
"709","-","-","-","12.65","13.06","3909"
"708","-","3.93","5.99","12.64","13.05","3904"
"707","-","-","-","12.63","13.03","3899"
"706","1.76","3.92","5.98","12.62","13.01","3894"
"705","-","-","-","12.61","12.99","3889"
"704","-","-","5.97","12.60","12.98","3884"
"703","-","3.91","-","12.59","12.96","3879"
"702","-","-","5.96","12.58","12.94","3874"
"701","-","-","-","12.57","12.93","3869"
"700","-","3.90","5.95","12.56","12.91","3864"
"699","-","-","-","12.55","12.89","3859"
"698","1.75","3.89","5.94","12.54","12.88","3854"
"697","-","-","-","12.53","12.86","3849"
"696","-","-","5.93","12.52","12.84","3844"
"695","-","3.88","-","12.51","12.83","3839"
"694","-","-","-","12.50","12.81","3834"
"693","-","-","5.92","12.49","12.79","3829"
"692","-","3.87","-","12.48","12.77","3824"
"691","-","-","5.91","12.47","12.76","3819"
"690","-","3.86","-","12.46","12.74","3814"
"689","1.74","-","5.90","12.45","12.72","3809"
"688","-","-","-","12.44","12.71","3804"
"687","-","3.85","5.89","12.43","12.69","3799"
"686","-","-","-","12.42","12.67","3794"
"685","-","-","5.88","12.41","12.66","3789"
"684","-","3.84","-","12.40","12.64","3784"
"683","-","-","5.87","12.39","12.62","3779"
"682","-","3.83","-","12.38","12.61","3774"
"681","-","-","5.86","12.37","12.59","3769"
"680","1.73","-","-","12.36","12.57","3764"
"679","-","3.82","5.85","12.35","12.55","3759"
"678","-","-","-","12.34","12.54","3754"
"677","-","3.81","5.84","12.33","12.52","3749"
"676","-","-","-","12.32","12.50","3744"
"675","-","-","5.83","12.31","12.49","3739"
"674","-","3.80","-","12.30","12.47","3734"
"673","-","-","-","12.29","12.45","3729"
"672","1.72","-","5.82","12.28","12.44","3724"
"671","-","3.79","-","-","12.42","3719"
"670","-","-","5.81","12.27","12.40","3714"
"669","-","3.78","-","12.26","12.38","3709"
"668","-","-","5.80","12.25","12.37","3704"
"667","-","-","-","12.24","12.35","3699"
"666","-","3.77","5.79","12.23","12.33","3694"
"665","-","-","-","12.22","12.32","3689"
"664","-","-","5.78","12.21","12.30","3684"
"663","1.71","3.76","-","12.20","12.28","3679"
"662","-","-","5.77","12.19","12.27","3674"
"661","-","3.75","-","12.18","12.25","3669"
"660","-","-","5.76","12.17","12.23","3664"
"659","-","-","-","12.16","12.22","3659"
"658","-","3.74","5.75","12.15","12.20","3654"
"657","-","-","-","12.14","12.18","3649"
"656","-","3.73","5.74","12.13","12.16","3644"
"655","1.70","-","-","12.12","12.15","3639"
"654","-","-","5.73","12.11","12.13","3634"
"653","-","3.72","-","12.10","12.11","3629"
"652","-","-","5.72","12.09","12.10","3624"
"651","-","-","-","12.08","12.08","3619"
"650","-","3.71","-","12.07","12.06","3614"
"649","-","-","5.71","12.06","12.05","3609"
"648","-","3.70","-","12.05","12.03","3604"
"647","-","-","5.70","12.04","12.01","3598"
"646","1.69","-","-","12.03","12.00","3593"
"645","-","3.69","5.69","12.02","11.98","3588"
"644","-","-","-","12.01","11.96","3583"
"643","-","-","5.68","12.00","11.94","3578"
"642","-","3.68","-","11.99","11.93","3573"
"641","-","-","5.67","11.98","11.91","3568"
"640","-","3.67","-","11.97","11.89","3563"
"639","-","-","5.66","11.96","11.88","3558"
"638","1.68","-","-","11.95","11.86","3553"
"637","-","3.66","5.65","11.94","11.84","3548"
"636","-","-","-","11.93","11.83","3543"
"635","-","3.65","5.64","11.92","11.81","3538"
"634","-","-","-","11.91","11.79","3533"
"633","-","-","5.63","11.90","11.77","3528"
"632","-","3.64","-","11.89","11.76","3523"
"631","-","-","5.62","11.88","11.74","3518"
"630","-","-","-","11.87","11.72","3513"
"629","1.67","3.63","5.61","11.86","11.71","3508"
"628","-","-","-","11.85","11.69","3503"
"627","-","3.62","5.60","11.84","11.67","3498"
"626","-","-","-","11.83","11.66","3493"
"625","-","-","-","11.82","11.64","3488"
"624","-","3.61","5.59","11.81","11.62","3483"
"623","-","-","-","11.80","11.61","3478"
"622","-","3.60","5.58","-","11.59","3473"
"621","1.66","-","-","11.79","11.57","3468"
"620","-","-","5.57","11.78","11.55","3463"
"619","-","3.59","-","11.77","11.54","3458"
"618","-","-","5.56","11.76","11.52","3453"
"617","-","-","-","11.75","11.50","3447"
"616","-","3.58","5.55","11.74","11.49","3442"
"615","-","-","-","11.73","11.47","3437"
"614","-","3.57","5.54","11.72","11.45","3432"
"613","-","-","-","11.71","11.44","3427"
"612","1.65","-","5.53","11.70","11.42","3422"
"611","-","3.56","-","11.69","11.40","3417"
"610","-","-","5.52","11.68","11.39","3412"
"609","-","-","-","11.67","11.37","3407"
"608","-","3.55","5.51","11.66","11.35","3402"
"607","-","-","-","11.65","11.33","3397"
"606","-","3.54","5.50","11.64","11.32","3392"
"605","-","-","-","11.63","11.30","3387"
"604","1.64","-","5.49","11.62","11.28","3382"
"603","-","3.53","-","11.61","11.27","3377"
"602","-","-","5.48","11.60","11.25","3372"
"601","-","3.52","-","11.59","11.23","3367"
"600","-","-","-","11.58","11.22","3362"
"599","-","-","5.47","11.57","11.20","3357"
"598","-","3.51","-","11.56","11.18","3352"
"597","-","-","5.46","11.55","11.16","3347"
"596","-","-","-","11.54","11.15","3342"
"595","1.63","3.50","5.45","11.53","11.13","3337"
"594","-","-","-","11.52","11.11","3331"
"593","-","3.49","5.44","11.51","11.10","3326"
"592","-","-","-","11.50","11.08","3321"
"591","-","-","5.43","11.49","11.06","3316"
"590","-","3.48","-","11.48","11.05","3311"
"589","-","-","5.42","11.47","11.03","3306"
"588","-","3.47","-","11.46","11.01","3301"
"587","1.62","-","5.41","11.45","10.99","3296"
"586","-","-","-","11.44","10.98","3291"
"585","-","3.46","5.40","11.43","10.96","3286"
"584","-","-","-","11.42","10.94","3281"
"583","-","-","5.39","11.41","10.93","3276"
"582","-","3.45","-","11.40","10.91","3271"
"581","-","-","5.38","11.39","10.89","3266"
"580","-","3.44","-","11.38","10.88","3261"
"579","-","-","5.37","11.37","10.86","3256"
"578","1.61","-","-","11.36","10.84","3251"
"577","-","3.43","5.36","11.35","10.83","3246"
"576","-","-","-","11.34","10.81","3240"
"575","-","3.42","5.35","11.33","10.79","3235"
"574","-","-","-","11.32","10.77","3230"
"573","-","-","5.34","11.31","10.76","3225"
"572","-","3.41","-","11.30","10.74","3220"
"571","-","-","-","11.29","10.72","3215"
"570","1.60","-","5.33","11.28","10.71","3210"
"569","-","3.40","-","11.27","10.69","3205"
"568","-","-","5.32","11.26","10.67","3200"
"567","-","3.39","-","11.25","10.66","3195"
"566","-","-","5.31","11.24","10.64","3190"
"565","-","-","-","11.23","10.62","3185"
"564","-","3.38","5.30","11.22","10.60","3180"
"563","-","-","-","11.21","10.59","3175"
"562","-","3.37","5.29","11.20","10.57","3170"
"561","1.59","-","-","11.19","10.55","3165"
"560","-","-","5.28","11.18","10.54","3159"
"559","-","3.36","-","11.17","10.52","3154"
"558","-","-","5.27","11.16","10.50","3149"
"557","-","-","-","11.15","10.49","3144"
"556","-","3.35","5.26","11.14","10.47","3139"
"555","-","-","-","-","10.45","3134"
"554","-","3.34","5.25","11.13","10.43","3129"
"553","1.58","-","-","11.12","10.42","3124"
"552","-","-","5.24","11.11","10.40","3119"
"551","-","3.33","-","11.10","10.38","3114"
"550","-","-","5.23","11.09","10.37","3109"
"549","-","3.32","-","11.08","10.35","3104"
"548","-","-","5.22","11.07","10.33","3099"
"547","-","-","-","11.06","10.32","3094"
"546","-","3.31","5.21","11.05","10.30","3088"
"545","-","-","-","11.04","10.28","3083"
"544","1.57","-","5.20","11.03","10.26","3078"
"543","-","3.30","-","11.02","10.25","3073"
"542","-","-","-","11.01","10.23","3068"
"541","-","3.29","5.19","11.00","10.21","3063"
"540","-","-","-","10.99","10.20","3058"
"539","-","-","5.18","10.98","10.18","3053"
"538","-","3.28","-","10.97","10.16","3048"
"537","-","-","5.17","10.96","10.15","3043"
"536","1.56","3.27","-","10.95","10.13","3038"
"535","-","-","5.16","10.94","10.11","3033"
"534","-","-","-","10.93","10.09","3028"
"533","-","3.26","5.15","10.92","10.08","3023"
"532","-","-","-","10.91","10.06","3017"
"531","-","-","5.14","10.90","10.04","3012"
"530","-","3.25","-","10.89","10.03","3007"
"529","-","-","5.13","10.88","10.01","3002"
"528","-","3.24","-","10.87","9.99","2997"
"527","1.55","-","5.12","10.86","9.98","2992"
"526","-","-","-","10.85","9.96","2987"
"525","-","3.23","5.11","10.84","9.94","2982"
"524","-","-","-","10.83","9.92","2977"
"523","-","3.22","5.10","10.82","9.91","2972"
"522","-","-","-","10.81","9.89","2967"
"521","-","-","5.09","10.80","9.87","2962"
"520","-","3.21","-","10.79","9.86","2956"
"519","1.54","-","5.08","10.78","9.84","2951"
"518","-","-","-","10.77","9.82","2946"
"517","-","3.20","5.07","10.76","9.81","2941"
"516","-","-","-","10.75","9.79","2936"
"515","-","3.19","5.06","10.74","9.77","2931"
"514","-","-","-","10.73","9.75","2926"
"513","-","-","5.05","10.72","9.74","2921"
"512","-","3.18","-","10.71","9.72","2916"
"511","-","-","-","10.70","9.70","2911"
"510","1.53","3.17","5.04","10.69","9.69","2906"
"509","-","-","-","10.68","9.67","2901"
"508","-","-","5.03","10.67","9.65","2895"
"507","-","3.16","-","10.66","9.64","2890"
"506","-","-","5.02","10.65","9.62","2885"
"505","-","-","-","10.64","9.60","2880"
"504","-","3.15","5.01","10.63","9.58","2875"
"503","-","-","-","10.62","9.57","2870"
"502","1.52","3.14","5.00","10.61","9.55","2865"
"501","-","-","-","10.60","9.53","2860"
"500","-","-","4.99","10.59","9.52","2855"
"499","-","3.13","-","10.58","9.50","2850"
"498","-","-","4.98","10.57","9.48","2844"
"497","-","3.12","-","10.56","9.47","2839"
"496","-","-","4.97","10.55","9.45","2834"
"495","-","-","-","10.54","9.43","2829"
"494","1.51","3.11","4.96","10.53","9.41","2824"
"493","-","-","-","10.52","9.40","2819"
"492","-","3.10","4.95","10.51","9.38","2814"
"491","-","-","-","10.50","9.36","2809"
"490","-","-","4.94","10.49","9.35","2804"
"489","-","3.09","-","10.48","9.33","2799"
"488","-","-","4.93","10.47","9.31","2794"
"487","-","-","-","10.46","9.30","2788"
"486","-","3.08","4.92","10.45","9.28","2783"
"485","1.50","-","-","10.44","9.26","2778"
"484","-","3.07","4.91","10.43","9.24","2773"
"483","-","-","-","10.42","9.23","2768"
"482","-","-","4.90","10.41","9.21","2763"
"481","-","3.06","-","10.40","9.19","2758"
"480","-","-","4.89","10.39","9.18","2753"
"479","-","3.05","-","10.38","9.16","2748"
"478","-","-","4.88","10.37","9.14","2743"
"477","1.49","-","-","10.36","9.13","2737"
"476","-","3.04","-","10.35","9.11","2732"
"475","-","-","4.87","10.34","9.09","2727"
"474","-","-","-","10.33","9.07","2722"
"473","-","3.03","4.86","10.32","9.06","2717"
"472","-","-","-","10.31","9.04","2712"
"471","-","3.02","4.85","10.30","9.02","2707"
"470","-","-","-","10.29","9.01","2702"
"469","-","-","4.84","10.28","8.99","2697"
"468","1.48","3.01","-","10.27","8.97","2691"
"467","-","-","4.83","10.26","8.96","2686"
"466","-","3.00","-","10.25","8.94","2681"
"465","-","-","4.82","10.24","8.92","2676"
"464","-","-","-","10.23","8.90","2671"
"463","-","2.99","4.81","10.22","8.89","2666"
"462","-","-","-","10.21","8.87","2661"
"461","-","2.98","4.80","10.20","8.85","2656"
"460","1.47","-","-","10.19","8.84","2651"
"459","-","-","4.79","10.18","8.82","2645"
"458","-","2.97","-","10.17","8.80","2640"
"457","-","-","4.78","10.16","8.79","2635"
"456","-","-","-","10.15","8.77","2630"
"455","-","2.96","4.77","10.14","8.75","2625"
"454","-","-","-","10.13","8.73","2620"
"453","-","2.95","4.76","10.12","8.72","2615"
"452","-","-","-","10.11","8.70","2610"
"451","1.46","-","4.75","10.10","8.68","2605"
"450","-","2.94","-","10.09","8.67","2599"
"449","-","-","4.74","10.08","8.65","2594"
"448","-","2.93","-","10.07","8.63","2589"
"447","-","-","4.73","10.06","8.62","2584"
"446","-","-","-","10.05","8.60","2579"
"445","-","2.92","4.72","10.04","8.58","2574"
"444","-","-","-","10.03","8.56","2569"
"443","1.45","2.91","4.71","10.02","8.55","2564"
"442","-","-","-","10.01","8.53","2558"
"441","-","-","4.70","10.00","8.51","2553"
"440","-","2.90","-","9.99","8.50","2548"
"439","-","-","4.69","9.98","8.48","2543"
"438","-","-","-","9.97","8.46","2538"
"437","-","2.89","-","9.96","8.44","2533"
"436","-","-","4.68","9.95","8.43","2528"
"435","1.44","2.88","-","9.94","8.41","2523"
"434","-","-","4.67","9.93","8.39","2517"
"433","-","-","-","9.92","8.38","2512"
"432","-","2.87","4.66","9.91","8.36","2507"
"431","-","-","-","9.90","8.34","2502"
"430","-","2.86","4.65","9.89","8.33","2497"
"429","-","-","-","9.88","8.31","2492"
"428","-","-","4.64","9.87","8.29","2487"
"427","-","2.85","-","9.86","8.27","2482"
"426","1.43","-","4.63","9.85","8.26","2476"
"425","-","2.84","-","9.84","8.24","2471"
"424","-","-","4.62","9.83","8.22","2466"
"423","-","-","-","9.82","8.21","2461"
"422","-","2.83","4.61","9.81","8.19","2456"
"421","-","-","-","9.80","8.17","2451"
"420","-","-","4.60","9.79","8.16","2446"
"419","-","2.82","-","9.78","8.14","2441"
"418","1.42","-","4.59","9.77","8.12","2435"
"417","-","2.81","-","9.76","8.10","2430"
"416","-","-","4.58","9.75","8.09","2425"
"415","-","-","-","9.74","8.07","2420"
"414","-","2.80","4.57","9.73","8.05","2415"
"413","-","-","-","9.72","8.04","2410"
"412","-","2.79","4.56","9.71","8.02","2405"
"411","-","-","-","9.70","8.00","2400"
"410","1.41","-","4.55","9.69","7.98","2394"
"409","-","2.78","-","9.68","7.97","2389"
"408","-","-","4.54","9.67","7.95","2384"
"407","-","2.77","-","9.66","7.93","2379"
"406","-","-","4.53","9.65","7.92","2374"
"405","-","-","-","9.64","7.90","2369"
"404","-","2.76","4.52","9.63","7.88","2364"
"403","-","-","-","9.62","7.87","2358"
"402","-","-","4.51","9.61","7.85","2353"
"401","1.40","2.75","-","9.60","7.83","2348"
"400","-","-","4.50","9.59","7.81","2343"
"399","-","2.74","-","9.58","7.80","2338"
"398","-","-","4.49","9.57","7.78","2333"
"397","-","-","-","9.56","7.76","2328"
"396","-","2.73","4.48","9.55","7.75","2322"
"395","-","-","-","9.54","7.73","2317"
"394","-","2.72","4.47","9.53","7.71","2312"
"393","1.39","-","-","9.52","7.70","2307"
"392","-","-","4.46","9.51","7.68","2302"
"391","-","2.71","-","9.50","7.66","2297"
"390","-","-","-","9.49","7.64","2292"
"389","-","2.70","4.45","9.48","7.63","2286"
"388","-","-","-","9.47","7.61","2281"
"387","-","-","4.44","9.46","7.59","2276"
"386","-","2.69","-","9.45","7.58","2271"
"385","1.38","-","4.43","9.44","7.56","2266"
"384","-","-","-","9.43","7.54","2261"
"383","-","2.68","4.42","9.42","7.52","2256"
"382","-","-","-","9.41","7.51","2250"
"381","-","2.67","4.41","9.40","7.49","2245"
"380","-","-","-","9.39","7.47","2240"
"379","-","-","4.40","9.38","7.46","2235"
"378","-","2.66","-","9.37","7.44","2230"
"377","-","-","4.39","9.36","7.42","2225"
"376","1.37","2.65","-","9.35","7.41","2219"
"375","-","-","4.38","9.34","7.39","2214"
"374","-","-","-","9.33","7.37","2209"
"373","-","2.64","4.37","9.32","7.35","2204"
"372","-","-","-","9.31","7.34","2199"
"371","-","2.63","4.36","9.30","7.32","2194"
"370","-","-","-","9.29","7.30","2189"
"369","-","-","4.35","9.28","7.29","2183"
"368","1.36","2.62","-","9.27","7.27","2178"
"367","-","-","4.34","9.26","7.25","2173"
"366","-","2.61","-","9.25","7.23","2168"
"365","-","-","4.33","9.24","7.22","2163"
"364","-","-","-","9.23","7.20","2158"
"363","-","2.60","4.32","9.22","7.18","2152"
"362","-","-","-","9.21","7.17","2147"
"361","-","-","4.31","9.20","7.15","2142"
"360","1.35","2.59","-","9.19","7.13","2137"
"359","-","-","4.30","9.18","7.12","2132"
"358","-","2.58","-","9.17","7.10","2127"
"357","-","-","4.29","9.16","7.08","2122"
"356","-","-","-","9.15","7.06","2116"
"355","-","2.57","4.28","9.14","7.05","2111"
"354","-","-","-","9.13","7.03","2106"
"353","-","2.56","4.27","9.12","7.01","2101"
"352","-","-","-","9.11","7.00","2096"
"351","1.34","-","4.26","9.10","6.98","2091"
"350","-","2.55","-","9.09","6.96","2085"
"349","-","-","4.25","9.08","6.94","2080"
"348","-","2.54","-","9.07","6.93","2075"
"347","-","-","4.24","9.06","6.91","2070"
"346","-","-","-","9.05","6.89","2065"
"345","-","2.53","4.23","9.04","6.88","2060"
"344","-","-","-","9.03","6.86","2054"
"343","1.33","2.52","4.22","9.02","6.84","2049"
"342","-","-","-","9.01","6.82","2044"
"341","-","-","4.21","9.00","6.81","2039"
"340","-","2.51","-","8.99","6.79","2034"
"339","-","-","4.20","8.98","6.77","2029"
"338","-","2.50","-","8.97","6.76","2023"
"337","-","-","4.19","8.96","6.74","2018"
"336","-","-","-","8.95","6.72","2013"
"335","1.32","2.49","4.18","8.94","6.71","2008"
"334","-","-","-","8.93","6.69","2003"
"333","-","-","4.17","8.92","6.67","1998"
"332","-","2.48","-","8.91","6.65","1992"
"331","-","-","-","8.90","6.64","1987"
"330","-","2.47","4.16","8.89","6.62","1982"
"329","-","-","-","8.88","6.60","1977"
"328","-","-","4.15","8.87","6.59","1972"
"327","-","2.46","-","8.86","6.57","1966"
"326","1.31","-","4.14","8.85","6.55","1961"
"325","-","2.45","-","8.84","6.53","1956"
"324","-","-","4.13","8.83","6.52","1951"
"323","-","-","-","8.82","6.50","1946"
"322","-","2.44","4.12","8.81","6.48","1941"
"321","-","-","-","8.80","6.47","1935"
"320","-","2.43","4.11","8.79","6.45","1930"
"319","-","-","-","8.78","6.43","1925"
"318","1.30","-","4.10","8.77","6.42","1920"
"317","-","2.42","-","8.76","6.40","1915"
"316","-","-","4.09","8.75","6.38","1909"
"315","-","2.41","-","8.74","6.36","1904"
"314","-","-","4.08","8.73","6.35","1899"
"313","-","-","-","8.72","6.33","1894"
"312","-","2.40","4.07","8.71","6.31","1889"
"311","-","-","-","8.70","6.30","1884"
"310","1.29","2.39","4.06","8.69","6.28","1878"
"309","-","-","-","8.68","6.26","1873"
"308","-","-","4.05","8.67","6.24","1868"
"307","-","2.38","-","8.66","6.23","1863"
"306","-","-","4.04","8.65","6.21","1858"
"305","-","-","-","8.64","6.19","1852"
"304","-","2.37","4.03","8.63","6.18","1847"
"303","-","-","-","8.62","6.16","1842"
"302","-","2.36","4.02","8.61","6.14","1837"
"301","1.28","-","-","8.60","6.12","1832"
"300","-","-","4.01","8.59","6.11","1827"
"299","-","2.35","-","8.58","6.09","1821"
"298","-","-","4.00","8.57","6.07","1816"
"297","-","2.34","-","8.56","6.06","1811"
"296","-","-","3.99","8.55","6.04","1806"
"295","-","-","-","8.54","6.02","1801"
"294","-","2.33","3.98","8.53","6.01","1795"
"293","1.27","-","-","8.52","5.99","1790"
"292","-","2.32","3.97","8.51","5.97","1785"
"291","-","-","-","8.50","5.95","1780"
"290","-","-","3.96","8.49","5.94","1775"
"289","-","2.31","-","8.47","5.92","1769"
"288","-","-","3.95","8.46","5.90","1764"
"287","-","2.30","-","8.45","5.89","1759"
"286","-","-","3.94","8.44","5.87","1754"
"285","1.26","-","-","8.43","5.85","1749"
"284","-","2.29","3.93","8.42","5.83","1743"
"283","-","-","-","8.41","5.82","1738"
"282","-","2.28","3.92","8.40","5.80","1733"
"281","-","-","-","8.39","5.78","1728"
"280","-","-","3.91","8.38","5.77","1723"
"279","-","2.27","-","8.37","5.75","1717"
"278","-","-","3.90","8.36","5.73","1712"
"277","1.25","2.26","-","8.35","5.71","1707"
"276","-","-","3.89","8.34","5.70","1702"
"275","-","-","-","8.33","5.68","1697"
"274","-","2.25","3.88","8.32","5.66","1691"
"273","-","-","-","8.31","5.65","1686"
"272","-","-","3.87","8.30","5.63","1681"
"271","-","2.24","-","8.29","5.61","1676"
"270","-","-","3.86","8.28","5.59","1671"
"269","-","2.23","-","8.27","5.58","1665"
"268","1.24","-","3.85","8.26","5.56","1660"
"267","-","-","-","8.25","5.54","1655"
"266","-","2.22","3.84","8.24","5.53","1650"
"265","-","-","-","8.23","5.51","1645"
"264","-","2.21","3.83","8.22","5.49","1639"
"263","-","-","-","8.21","5.48","1634"
"262","-","-","3.82","8.20","5.46","1629"
"261","-","2.20","-","8.19","5.44","1624"
"260","1.23","-","3.81","8.18","5.42","1619"
"259","-","2.19","-","8.17","5.41","1613"
"258","-","-","3.80","8.16","5.39","1608"
"257","-","-","-","8.15","5.37","1603"
"256","-","2.18","3.79","8.14","5.36","1598"
"255","-","-","-","8.13","5.34","1593"
"254","-","2.17","3.78","8.12","5.32","1587"
"253","-","-","-","8.11","5.30","1582"
"252","1.22","-","3.77","8.10","5.29","1577"
"251","-","2.16","-","8.09","5.27","1572"
"250","-","-","3.76","8.08","5.25","1566"
"249","-","2.15","-","8.07","5.24","1561"
"248","-","-","3.75","8.06","5.22","1556"
"247","-","-","-","8.05","5.20","1551"
"246","-","2.14","3.74","8.04","5.18","1546"
"245","-","-","-","8.03","5.17","1540"
"244","1.21","2.13","3.73","8.02","5.15","1535"
"243","-","-","-","8.01","5.13","1530"
"242","-","-","3.72","8.00","5.12","1525"
"241","-","2.12","-","7.99","5.10","1520"
"240","-","-","3.71","7.98","5.08","1514"
"239","-","2.11","-","7.97","5.06","1509"
"238","-","-","3.70","7.96","5.05","1504"
"237","-","-","-","7.95","5.03","1499"
"236","-","2.10","3.69","7.94","5.01","1493"
"235","1.20","-","-","7.93","5.00","1488"
"234","-","2.09","3.68","7.92","4.98","1483"
"233","-","-","-","7.91","4.96","1478"
"232","-","-","3.67","7.90","4.94","1473"
"231","-","2.08","-","7.89","4.93","1467"
"230","-","-","3.66","7.88","4.91","1462"
"229","-","-","-","7.87","4.89","1457"
"228","-","2.07","3.65","7.86","4.88","1452"
"227","1.19","-","-","7.85","4.86","1446"
"226","-","2.06","3.64","7.84","4.84","1441"
"225","-","-","-","7.82","4.82","1436"
"224","-","-","3.63","7.81","4.81","1431"
"223","-","2.05","-","7.80","4.79","1426"
"222","-","-","3.62","7.79","4.77","1420"
"221","-","2.04","-","7.78","4.76","1415"
"220","-","-","3.61","7.77","4.74","1410"
"219","1.18","-","-","7.76","4.72","1405"
"218","-","2.03","3.60","7.75","4.70","1399"
"217","-","-","-","7.74","4.69","1394"
"216","-","2.02","3.59","7.73","4.67","1389"
"215","-","-","-","7.72","4.65","1384"
"214","-","-","3.58","7.71","4.64","1378"
"213","-","2.01","-","7.70","4.62","1373"
"212","-","-","3.57","7.69","4.60","1368"
"211","1.17","2.00","-","7.68","4.59","1363"
"210","-","-","-","7.67","4.57","1358"
"209","-","-","3.56","7.66","4.55","1352"
"208","-","1.99","-","7.65","4.53","1347"
"207","-","-","3.55","7.64","4.52","1342"
"206","-","1.98","-","7.63","4.50","1337"
"205","-","-","3.54","7.62","4.48","1331"
"204","-","-","-","7.61","4.47","1326"
"203","1.16","1.97","3.53","7.60","4.45","1321"
"202","-","-","-","7.59","4.43","1316"
"201","-","1.96","3.52","7.58","4.41","1310"
"200","-","-","-","7.57","4.40","1305"
