"Points","200m","300m","400m","500m","4x200m","4x400m"
"1159","20.83","32.64","46.22","1:00.70","1:23.05","3:06.04"
"1158","20.84","32.65","46.24","1:00.72","1:23.07","3:06.11"
"1157","-","32.66","46.25","1:00.74","1:23.10","3:06.18"
"1156","20.85","32.67","46.27","1:00.76","1:23.13","3:06.24"
"1155","20.86","32.68","46.28","1:00.78","1:23.15","3:06.31"
"1154","-","32.70","46.30","1:00.80","1:23.18","3:06.37"
"1153","20.87","32.71","46.31","1:00.82","1:23.20","3:06.44"
"1152","20.88","32.72","46.33","1:00.84","1:23.23","3:06.51"
"1151","-","32.73","46.34","1:00.86","1:23.26","3:06.57"
"1150","20.89","32.74","46.36","1:00.88","1:23.28","3:06.64"
"1149","20.90","32.75","46.37","1:00.90","1:23.31","3:06.71"
"1148","-","32.76","46.39","1:00.92","1:23.34","3:06.77"
"1147","20.91","32.77","46.40","1:00.94","1:23.36","3:06.84"
"1146","20.92","32.78","46.42","1:00.96","1:23.39","3:06.91"
"1145","-","32.79","46.43","1:00.98","1:23.42","3:06.97"
"1144","20.93","32.81","46.45","1:01.00","1:23.44","3:07.04"
"1143","20.94","32.82","46.46","1:01.02","1:23.47","3:07.11"
"1142","-","32.83","46.48","1:01.04","1:23.49","3:07.18"
"1141","20.95","32.84","46.49","1:01.06","1:23.52","3:07.24"
"1140","20.96","32.85","46.51","1:01.08","1:23.55","3:07.31"
"1139","-","32.86","46.52","1:01.10","1:23.57","3:07.38"
"1138","20.97","32.87","46.54","1:01.12","1:23.60","3:07.44"
"1137","20.98","32.88","46.55","1:01.14","1:23.63","3:07.51"
"1136","-","32.89","46.57","1:01.16","1:23.65","3:07.58"
"1135","20.99","32.91","46.58","1:01.17","1:23.68","3:07.64"
"1134","21.00","32.92","46.60","1:01.19","1:23.71","3:07.71"
"1133","-","32.93","46.61","1:01.21","1:23.73","3:07.78"
"1132","21.01","32.94","46.63","1:01.23","1:23.76","3:07.85"
"1131","-","32.95","46.64","1:01.25","1:23.79","3:07.91"
"1130","21.02","32.96","46.66","1:01.27","1:23.81","3:07.98"
"1129","21.03","32.97","46.67","1:01.29","1:23.84","3:08.05"
"1128","-","32.98","46.69","1:01.31","1:23.87","3:08.12"
"1127","21.04","32.99","46.70","1:01.33","1:23.89","3:08.18"
"1126","21.05","33.00","46.72","1:01.35","1:23.92","3:08.25"
"1125","-","33.02","46.73","1:01.37","1:23.95","3:08.32"
"1124","21.06","33.03","46.75","1:01.39","1:23.97","3:08.38"
"1123","21.07","33.04","46.76","1:01.41","1:24.00","3:08.45"
"1122","-","33.05","46.78","1:01.43","1:24.03","3:08.52"
"1121","21.08","33.06","46.79","1:01.45","1:24.05","3:08.59"
"1120","21.09","33.07","46.81","1:01.47","1:24.08","3:08.65"
"1119","-","33.08","46.82","1:01.49","1:24.11","3:08.72"
"1118","21.10","33.09","46.84","1:01.51","1:24.13","3:08.79"
