"Points","HJ","PV","LJ","TJ","SP","Pent."
"1326","-","-","-","16.02","21.89","5318"
"1325","-","-","-","16.01","21.87","5315"
"1324","-","5.17","7.48","16.00","21.86","5311"
"1323","-","-","-","15.99","21.84","5307"
"1322","-","-","7.47","15.98","21.82","5304"
"1321","-","5.16","-","15.97","21.81","5300"
"1320","-","-","7.46","15.96","21.79","5296"
"1319","2.10","-","-","15.95","21.78","5293"
"1318","-","5.15","7.45","15.94","21.76","5289"
"1317","-","-","-","15.93","21.74","5285"
"1316","-","-","7.44","-","21.73","5282"
"1315","-","5.14","-","15.92","21.71","5278"
"1314","-","-","-","15.91","21.70","5274"
"1313","-","-","7.43","15.90","21.68","5271"
"1312","-","5.13","-","15.89","21.66","5267"
"1311","-","-","7.42","15.88","21.65","5263"
"1310","-","-","-","15.87","21.63","5260"
"1309","2.09","-","7.41","15.86","21.62","5256"
"1308","-","5.12","-","15.85","21.60","5252"
"1307","-","-","7.40","15.84","21.59","5249"
"1306","-","-","-","15.83","21.57","5245"
"1305","-","5.11","-","15.82","21.55","5241"
"1304","-","-","7.39","15.81","21.54","5238"
"1303","-","-","-","15.80","21.52","5234"
"1302","-","5.10","7.38","15.79","21.51","5230"
"1301","-","-","-","15.78","21.49","5227"
"1300","-","-","7.37","15.77","21.47","5223"
"1299","2.08","5.09","-","15.76","21.46","5219"
"1298","-","-","7.36","15.75","21.44","5216"
"1297","-","-","-","15.74","21.43","5212"
"1296","-","5.08","-","15.73","21.41","5208"
"1295","-","-","7.35","15.72","21.39","5205"
"1294","-","-","-","15.71","21.38","5201"
"1293","-","5.07","7.34","15.70","21.36","5197"
"1292","-","-","-","15.69","21.35","5194"
"1291","-","-","7.33","15.68","21.33","5190"
"1290","-","5.06","-","15.67","21.31","5186"
"1289","2.07","-","7.32","-","21.30","5183"
"1288","-","-","-","15.66","21.28","5179"
"1287","-","-","7.31","15.65","21.27","5175"
"1286","-","5.05","-","15.64","21.25","5172"
"1285","-","-","-","15.63","21.23","5168"
"1284","-","-","7.30","15.62","21.22","5164"
"1283","-","5.04","-","15.61","21.20","5161"
"1282","-","-","7.29","15.60","21.19","5157"
"1281","-","-","-","15.59","21.17","5153"
"1280","-","5.03","7.28","15.58","21.15","5150"
"1279","2.06","-","-","15.57","21.14","5146"
"1278","-","-","7.27","15.56","21.12","5142"
"1277","-","5.02","-","15.55","21.11","5139"
"1276","-","-","-","15.54","21.09","5135"
"1275","-","-","7.26","15.53","21.07","5131"
"1274","-","5.01","-","15.52","21.06","5128"
"1273","-","-","7.25","15.51","21.04","5124"
"1272","-","-","-","15.50","21.03","5120"
"1271","-","5.00","7.24","15.49","21.01","5117"
"1270","-","-","-","15.48","21.00","5113"
"1269","2.05","-","7.23","15.47","20.98","5109"
"1268","-","4.99","-","15.46","20.96","5105"
"1267","-","-","7.22","15.45","20.95","5102"
"1266","-","-","-","15.44","20.93","5098"
"1265","-","-","-","15.43","20.92","5094"
"1264","-","4.98","7.21","15.42","20.90","5091"
"1263","-","-","-","15.41","20.88","5087"
"1262","-","-","7.20","15.40","20.87","5083"
"1261","-","4.97","-","-","20.85","5080"
"1260","-","-","7.19","15.39","20.84","5076"
"1259","2.04","-","-","15.38","20.82","5072"
