"Points","HJ","PV","LJ","TJ","SP","Pent."
"806","-","-","-","10.92","13.55","3373"
"805","-","-","5.10","10.91","13.54","3369"
"804","-","3.49","-","10.90","13.52","3365"
"803","-","-","5.09","10.89","13.51","3361"
"802","-","-","-","10.88","13.49","3357"
"801","1.57","3.48","5.08","10.87","13.47","3353"
"800","-","-","-","10.86","13.46","3350"
"799","-","-","-","10.85","13.44","3346"
"798","-","3.47","5.07","10.84","13.42","3342"
"797","-","-","-","10.83","13.41","3338"
"796","-","-","5.06","10.82","13.39","3334"
"795","-","3.46","-","10.81","13.38","3331"
"794","-","-","5.05","10.80","13.36","3327"
"793","-","-","-","10.79","13.34","3323"
"792","1.56","3.45","5.04","10.78","13.33","3319"
"791","-","-","-","10.77","13.31","3315"
"790","-","-","5.03","10.76","13.30","3311"
"789","-","3.44","-","10.75","13.28","3308"
"788","-","-","5.02","10.74","13.26","3304"
"787","-","-","-","10.73","13.25","3300"
"786","-","3.43","5.01","10.72","13.23","3296"
"785","-","-","-","10.71","13.21","3292"
"784","-","-","-","10.70","13.20","3288"
"783","-","3.42","5.00","10.69","13.18","3285"
"782","1.55","-","-","10.68","13.17","3281"
"781","-","-","4.99","10.67","13.15","3277"
"780","-","3.41","-","10.66","13.13","3273"
"779","-","-","4.98","10.65","13.12","3269"
"778","-","-","-","10.64","13.10","3265"
"777","-","3.40","4.97","10.63","13.09","3262"
"776","-","-","-","10.62","13.07","3258"
"775","-","-","4.96","10.61","13.05","3254"
"774","-","3.39","-","10.60","13.04","3250"
"773","1.54","-","4.95","10.59","13.02","3246"
"772","-","-","-","10.58","13.00","3242"
"771","-","3.38","4.94","10.57","12.99","3239"
"770","-","-","-","10.56","12.97","3235"
"769","-","-","4.93","10.55","12.96","3231"
"768","-","3.37","-","10.54","12.94","3227"
"767","-","-","-","10.53","12.92","3223"
"766","-","-","4.92","10.52","12.91","3219"
"765","-","3.36","-","10.51","12.89","3216"
"764","-","-","4.91","10.50","12.88","3212"
"763","1.53","-","-","10.49","12.86","3208"
"762","-","3.35","4.90","10.48","12.84","3204"
"761","-","-","-","10.47","12.83","3200"
"760","-","-","4.89","10.46","12.81","3196"
"759","-","3.34","-","10.45","12.80","3192"
"758","-","-","4.88","10.44","12.78","3189"
"757","-","-","-","10.43","12.76","3185"
"756","-","3.33","4.87","10.42","12.75","3181"
"755","-","-","-","10.41","12.73","3177"
"754","1.52","-","4.86","10.40","12.71","3173"
"753","-","3.32","-","10.39","12.70","3169"
"752","-","-","-","10.38","12.68","3166"
"751","-","-","4.85","10.37","12.67","3162"
"750","-","3.31","-","10.36","12.65","3158"
"749","-","-","4.84","10.35","12.63","3154"
"748","-","-","-","10.34","12.62","3150"
"747","-","3.30","4.83","10.33","12.60","3146"
"746","-","-","-","10.32","12.59","3143"
"745","-","-","4.82","10.31","12.57","3139"
"744","1.51","3.29","-","10.30","12.55","3135"
"743","-","-","4.81","10.29","12.54","3131"
"742","-","-","-","10.27","12.52","3127"
"741","-","3.28","4.80","10.26","12.50","3123"
"740","-","-","-","10.25","12.49","3119"
"739","-","-","4.79","10.24","12.47","3116"
"738","-","3.27","-","10.23","12.46","3112"
"737","-","-","4.78","10.22","12.44","3108"
"736","-","-","-","10.21","12.42","3104"
"735","1.50","3.26","-","10.20","12.41","3100"
"734","-","-","4.77","10.19","12.39","3096"
"733","-","-","-","10.18","12.38","3093"
"732","-","3.25","4.76","10.17","12.36","3089"
"731","-","-","-","10.16","12.34","3085"
"730","-","-","4.75","10.15","12.33","3081"
"729","-","3.24","-","10.14","12.31","3077"
"728","-","-","4.74","10.13","12.29","3073"
"727","-","-","-","10.12","12.28","3069"
"726","-","3.23","4.73","10.11","12.26","3066"
"725","1.49","-","-","10.10","12.25","3062"
"724","-","-","4.72","10.09","12.23","3058"
"723","-","3.22","-","10.08","12.21","3054"
"722","-","-","4.71","10.07","12.20","3050"
"721","-","-","-","10.06","12.18","3046"
"720","-","3.21","4.70","10.05","12.17","3042"
"719","-","-","-","10.04","12.15","3039"
"718","-","-","4.69","10.03","12.13","3035"
"717","-","3.20","-","10.02","12.12","3031"
"716","1.48","-","-","10.01","12.10","3027"
"715","-","-","4.68","10.00","12.08","3023"
"714","-","3.19","-","9.99","12.07","3019"
"713","-","-","4.67","9.98","12.05","3016"
"712","-","-","-","9.97","12.04","3012"
"711","-","3.18","4.66","9.96","12.02","3008"
"710","-","-","-","9.95","12.00","3004"
"709","-","-","4.65","9.94","11.99","3000"
"708","-","3.17","-","9.93","11.97","2996"
"707","-","-","4.64","9.92","11.95","2992"
"706","1.47","-","-","9.91","11.94","2989"
"705","-","3.16","4.63","9.90","11.92","2985"
"704","-","-","-","9.89","11.91","2981"
"703","-","-","4.62","9.88","11.89","2977"
"702","-","3.15","-","9.87","11.87","2973"
"701","-","-","4.61","9.86","11.86","2969"
"700","-","-","-","9.85","11.84","2965"
"699","-","3.14","-","9.84","11.83","2962"
"698","-","-","4.60","9.83","11.81","2958"
"697","1.46","-","-","9.82","11.79","2954"
"696","-","3.13","4.59","9.81","11.78","2950"
"695","-","-","-","9.80","11.76","2946"
"694","-","-","4.58","9.79","11.74","2942"
"693","-","3.12","-","9.78","11.73","2938"
"692","-","-","4.57","9.77","11.71","2934"
"691","-","-","-","9.76","11.70","2931"
"690","-","3.11","4.56","9.75","11.68","2927"
"689","-","-","-","9.74","11.66","2923"
"688","-","-","4.55","9.73","11.65","2919"
"687","1.45","3.10","-","9.72","11.63","2915"
"686","-","-","4.54","9.71","11.62","2911"
"685","-","-","-","9.70","11.60","2907"
"684","-","3.09","4.53","9.69","11.58","2904"
"683","-","-","-","9.68","11.57","2900"
"682","-","-","4.52","9.67","11.55","2896"
"681","-","3.08","-","9.66","11.53","2892"
"680","-","-","-","9.65","11.52","2888"
"679","-","-","4.51","9.64","11.50","2884"
"678","1.44","3.07","-","9.63","11.49","2880"
"677","-","-","4.50","9.62","11.47","2877"
"676","-","-","-","9.61","11.45","2873"
"675","-","3.06","4.49","9.60","11.44","2869"
"674","-","-","-","9.59","11.42","2865"
"673","-","-","4.48","9.58","11.41","2861"
"672","-","3.05","-","9.57","11.39","2857"
"671","-","-","4.47","9.56","11.37","2853"
"670","-","-","-","9.55","11.36","2849"
"669","-","3.04","4.46","9.54","11.34","2846"
"668","1.43","-","-","9.53","11.32","2842"
"667","-","-","4.45","9.52","11.31","2838"
"666","-","3.03","-","9.51","11.29","2834"
"665","-","-","4.44","9.50","11.28","2830"
"664","-","-","-","9.49","11.26","2826"
"663","-","3.02","4.43","9.48","11.24","2822"
"662","-","-","-","9.47","11.23","2818"
"661","-","-","-","9.46","11.21","2815"
"660","-","3.01","4.42","9.45","11.19","2811"
"659","1.42","-","-","9.43","11.18","2807"
"658","-","-","4.41","9.42","11.16","2803"
"657","-","3.00","-","9.41","11.15","2799"
"656","-","-","4.40","9.40","11.13","2795"
"655","-","-","-","9.39","11.11","2791"
"654","-","2.99","4.39","9.38","11.10","2787"
"653","-","-","-","9.37","11.08","2784"
"652","-","-","4.38","9.36","11.07","2780"
"651","-","2.98","-","9.35","11.05","2776"
"650","-","-","4.37","9.34","11.03","2772"
"649","1.41","-","-","9.33","11.02","2768"
"648","-","2.97","4.36","9.32","11.00","2764"
"647","-","-","-","9.31","10.98","2760"
"646","-","-","4.35","9.30","10.97","2756"
"645","-","2.96","-","9.29","10.95","2753"
"644","-","-","4.34","9.28","10.94","2749"
"643","-","-","-","9.27","10.92","2745"
"642","-","2.95","-","9.26","10.90","2741"
"641","-","-","4.33","9.25","10.89","2737"
"640","1.40","-","-","9.24","10.87","2733"
"639","-","2.94","4.32","9.23","10.85","2729"
"638","-","-","-","9.22","10.84","2725"
"637","-","-","4.31","9.21","10.82","2722"
"636","-","2.93","-","9.20","10.81","2718"
"635","-","-","4.30","9.19","10.79","2714"
"634","-","-","-","9.18","10.77","2710"
"633","-","2.92","4.29","9.17","10.76","2706"
"632","-","-","-","9.16","10.74","2702"
"631","1.39","-","4.28","9.15","10.73","2698"
"630","-","2.91","-","9.14","10.71","2694"
"629","-","-","4.27","9.13","10.69","2690"
"628","-","-","-","9.12","10.68","2687"
"627","-","2.90","4.26","9.11","10.66","2683"
"626","-","-","-","9.10","10.64","2679"
"625","-","-","4.25","9.09","10.63","2675"
"624","-","2.89","-","9.08","10.61","2671"
"623","-","-","-","9.07","10.60","2667"
"622","-","-","4.24","9.06","10.58","2663"
"621","1.38","2.88","-","9.05","10.56","2659"
"620","-","-","4.23","9.04","10.55","2656"
"619","-","-","-","9.03","10.53","2652"
"618","-","2.87","4.22","9.02","10.51","2648"
"617","-","-","-","9.01","10.50","2644"
"616","-","-","4.21","9.00","10.48","2640"
"615","-","2.86","-","8.99","10.47","2636"
"614","-","-","4.20","8.98","10.45","2632"
"613","-","-","-","8.97","10.43","2628"
"612","1.37","2.85","4.19","8.96","10.42","2624"
"611","-","-","-","8.95","10.40","2621"
"610","-","-","4.18","8.94","10.39","2617"
"609","-","2.84","-","8.93","10.37","2613"
"608","-","-","4.17","8.92","10.35","2609"
"607","-","-","-","8.91","10.34","2605"
"606","-","2.83","4.16","8.90","10.32","2601"
"605","-","-","-","8.89","10.30","2597"
"604","-","-","4.15","8.87","10.29","2593"
"603","-","2.82","-","8.86","10.27","2589"
"602","1.36","-","-","8.85","10.26","2586"
"601","-","-","4.14","8.84","10.24","2582"
"600","-","2.81","-","8.83","10.22","2578"
"599","-","-","4.13","8.82","10.21","2574"
"598","-","-","-","8.81","10.19","2570"
"597","-","2.80","4.12","8.80","10.17","2566"
"596","-","-","-","8.79","10.16","2562"
"595","-","-","4.11","8.78","10.14","2558"
"594","-","2.79","-","8.77","10.13","2554"
"593","1.35","-","4.10","8.76","10.11","2550"
"592","-","-","-","8.75","10.09","2547"
"591","-","2.78","4.09","8.74","10.08","2543"
"590","-","-","-","8.73","10.06","2539"
"589","-","-","4.08","8.72","10.04","2535"
"588","-","2.77","-","8.71","10.03","2531"
"587","-","-","4.07","8.70","10.01","2527"
"586","-","-","-","8.69","10.00","2523"
"585","-","2.76","4.06","8.68","9.98","2519"
"584","1.34","-","-","8.67","9.96","2515"
"583","-","-","4.05","8.66","9.95","2511"
"582","-","2.75","-","8.65","9.93","2508"
"581","-","-","-","8.64","9.92","2504"
"580","-","-","4.04","8.63","9.90","2500"
"579","-","2.74","-","8.62","9.88","2496"
"578","-","-","4.03","8.61","9.87","2492"
"577","-","-","-","8.60","9.85","2488"
"576","-","2.73","4.02","8.59","9.83","2484"
"575","-","-","-","8.58","9.82","2480"
"574","1.33","-","4.01","8.57","9.80","2476"
"573","-","2.72","-","8.56","9.79","2472"
"572","-","-","4.00","8.55","9.77","2469"
"571","-","-","-","8.54","9.75","2465"
"570","-","2.71","3.99","8.53","9.74","2461"
"569","-","-","-","8.52","9.72","2457"
"568","-","-","3.98","8.51","9.70","2453"
"567","-","2.70","-","8.50","9.69","2449"
"566","-","-","3.97","8.49","9.67","2445"
"565","1.32","-","-","8.48","9.66","2441"
"564","-","2.69","3.96","8.47","9.64","2437"
"563","-","-","-","8.46","9.62","2433"
"562","-","-","3.95","8.45","9.61","2430"
"561","-","2.68","-","8.44","9.59","2426"
"560","-","-","3.94","8.42","9.57","2422"
"559","-","-","-","8.41","9.56","2418"
"558","-","2.67","-","8.40","9.54","2414"
"557","-","-","3.93","8.39","9.53","2410"
"556","-","-","-","8.38","9.51","2406"
"555","1.31","2.66","3.92","8.37","9.49","2402"
"554","-","-","-","8.36","9.48","2398"
"553","-","-","3.91","8.35","9.46","2394"
"552","-","2.65","-","8.34","9.44","2390"
"551","-","-","3.90","8.33","9.43","2387"
"550","-","2.64","-","8.32","9.41","2383"
"549","-","-","3.89","8.31","9.40","2379"
"548","-","-","-","8.30","9.38","2375"
"547","-","2.63","3.88","8.29","9.36","2371"
"546","1.30","-","-","8.28","9.35","2367"
"545","-","-","3.87","8.27","9.33","2363"
"544","-","2.62","-","8.26","9.31","2359"
"543","-","-","3.86","8.25","9.30","2355"
"542","-","-","-","8.24","9.28","2351"
"541","-","2.61","3.85","8.23","9.27","2347"
"540","-","-","-","8.22","9.25","2343"
"539","-","-","3.84","8.21","9.23","2340"
"538","-","2.60","-","8.20","9.22","2336"
"537","1.29","-","3.83","8.19","9.20","2332"
"536","-","-","-","8.18","9.18","2328"
"535","-","2.59","3.82","8.17","9.17","2324"
"534","-","-","-","8.16","9.15","2320"
"533","-","-","-","8.15","9.14","2316"
"532","-","2.58","3.81","8.14","9.12","2312"
"531","-","-","-","8.13","9.10","2308"
"530","-","-","3.80","8.12","9.09","2304"
"529","-","2.57","-","8.11","9.07","2300"
"528","-","-","3.79","8.10","9.06","2296"
"527","1.28","-","-","8.09","9.04","2293"
"526","-","2.56","3.78","8.08","9.02","2289"
"525","-","-","-","8.07","9.01","2285"
"524","-","-","3.77","8.06","8.99","2281"
"523","-","2.55","-","8.05","8.97","2277"
"522","-","-","3.76","8.03","8.96","2273"
"521","-","-","-","8.02","8.94","2269"
"520","-","2.54","3.75","8.01","8.93","2265"
"519","-","-","-","8.00","8.91","2261"
"518","1.27","-","3.74","7.99","8.89","2257"
"517","-","2.53","-","7.98","8.88","2253"
"516","-","-","3.73","7.97","8.86","2249"
"515","-","-","-","7.96","8.84","2245"
"514","-","2.52","3.72","7.95","8.83","2242"
"513","-","-","-","7.94","8.81","2238"
"512","-","-","3.71","7.93","8.80","2234"
"511","-","2.51","-","7.92","8.78","2230"
"510","-","-","-","7.91","8.76","2226"
"509","1.26","-","3.70","7.90","8.75","2222"
"508","-","2.50","-","7.89","8.73","2218"
"507","-","-","3.69","7.88","8.71","2214"
"506","-","-","-","7.87","8.70","2210"
"505","-","2.49","3.68","7.86","8.68","2206"
"504","-","-","-","7.85","8.67","2202"
"503","-","-","3.67","7.84","8.65","2198"
"502","-","2.48","-","7.83","8.63","2194"
"501","-","-","3.66","7.82","8.62","2191"
"500","1.25","-","-","7.81","8.60","2187"
"499","-","2.47","3.65","7.80","8.58","2183"
"498","-","-","-","7.79","8.57","2179"
"497","-","-","3.64","7.78","8.55","2175"
"496","-","2.46","-","7.77","8.54","2171"
"495","-","-","3.63","7.76","8.52","2167"
"494","-","-","-","7.75","8.50","2163"
"493","-","2.45","3.62","7.74","8.49","2159"
"492","-","-","-","7.73","8.47","2155"
"491","-","-","3.61","7.72","8.45","2151"
"490","1.24","2.44","-","7.71","8.44","2147"
"489","-","-","3.60","7.70","8.42","2143"
"488","-","-","-","7.68","8.41","2139"
"487","-","2.43","3.59","7.67","8.39","2135"
"486","-","-","-","7.66","8.37","2132"
"485","-","2.42","3.58","7.65","8.36","2128"
"484","-","-","-","7.64","8.34","2124"
"483","-","-","-","7.63","8.32","2120"
"482","-","2.41","3.57","7.62","8.31","2116"
"481","1.23","-","-","7.61","8.29","2112"
"480","-","-","3.56","7.60","8.28","2108"
"479","-","2.40","-","7.59","8.26","2104"
"478","-","-","3.55","7.58","8.24","2100"
"477","-","-","-","7.57","8.23","2096"
"476","-","2.39","3.54","7.56","8.21","2092"
"475","-","-","-","7.55","8.19","2088"
"474","-","-","3.53","7.54","8.18","2084"
"473","-","2.38","-","7.53","8.16","2080"
"472","1.22","-","3.52","7.52","8.15","2076"
"471","-","-","-","7.51","8.13","2072"
"470","-","2.37","3.51","7.50","8.11","2069"
"469","-","-","-","7.49","8.10","2065"
"468","-","-","3.50","7.48","8.08","2061"
"467","-","2.36","-","7.47","8.06","2057"
"466","-","-","3.49","7.46","8.05","2053"
"465","-","-","-","7.45","8.03","2049"
"464","-","2.35","3.48","7.44","8.02","2045"
"463","-","-","-","7.43","8.00","2041"
"462","1.21","-","3.47","7.42","7.98","2037"
"461","-","2.34","-","7.41","7.97","2033"
"460","-","-","3.46","7.40","7.95","2029"
"459","-","-","-","7.39","7.93","2025"
"458","-","2.33","3.45","7.37","7.92","2021"
"457","-","-","-","7.36","7.90","2017"
"456","-","-","3.44","7.35","7.89","2013"
"455","-","2.32","-","7.34","7.87","2009"
"454","-","-","-","7.33","7.85","2005"
"453","1.20","-","3.43","7.32","7.84","2002"
"452","-","2.31","-","7.31","7.82","1998"
"451","-","-","3.42","7.30","7.80","1994"
"450","-","-","-","7.29","7.79","1990"
"449","-","2.30","3.41","7.28","7.77","1986"
"448","-","-","-","7.27","7.75","1982"
"447","-","-","3.40","7.26","7.74","1978"
"446","-","2.29","-","7.25","7.72","1974"
"445","-","-","3.39","7.24","7.71","1970"
"444","1.19","-","-","7.23","7.69","1966"
"443","-","2.28","3.38","7.22","7.67","1962"
"442","-","-","-","7.21","7.66","1958"
"441","-","-","3.37","7.20","7.64","1954"
"440","-","2.27","-","7.19","7.62","1950"
"439","-","-","3.36","7.18","7.61","1946"
"438","-","2.26","-","7.17","7.59","1942"
"437","-","-","3.35","7.16","7.58","1938"
"436","-","-","-","7.15","7.56","1934"
"435","1.18","2.25","3.34","7.14","7.54","1930"
"434","-","-","-","7.13","7.53","1926"
"433","-","-","3.33","7.12","7.51","1923"
"432","-","2.24","-","7.11","7.49","1919"
"431","-","-","3.32","7.10","7.48","1915"
"430","-","-","-","7.08","7.46","1911"
"429","-","2.23","3.31","7.07","7.45","1907"
"428","-","-","-","7.06","7.43","1903"
"427","-","-","3.30","7.05","7.41","1899"
"426","-","2.22","-","7.04","7.40","1895"
"425","1.17","-","-","7.03","7.38","1891"
"424","-","-","3.29","7.02","7.36","1887"
"423","-","2.21","-","7.01","7.35","1883"
"422","-","-","3.28","7.00","7.33","1879"
"421","-","-","-","6.99","7.32","1875"
"420","-","2.20","3.27","6.98","7.30","1871"
"419","-","-","-","6.97","7.28","1867"
"418","-","-","3.26","6.96","7.27","1863"
"417","-","2.19","-","6.95","7.25","1859"
"416","1.16","-","3.25","6.94","7.23","1855"
"415","-","-","-","6.93","7.22","1851"
"414","-","2.18","3.24","6.92","7.20","1847"
"413","-","-","-","6.91","7.19","1843"
"412","-","-","3.23","6.90","7.17","1839"
"411","-","2.17","-","6.89","7.15","1835"
"410","-","-","3.22","6.88","7.14","1832"
"409","-","-","-","6.87","7.12","1828"
"408","-","2.16","3.21","6.86","7.10","1824"
"407","1.15","-","-","6.85","7.09","1820"
"406","-","-","3.20","6.84","7.07","1816"
"405","-","2.15","-","6.83","7.06","1812"
"404","-","-","3.19","6.81","7.04","1808"
"403","-","-","-","6.80","7.02","1804"
"402","-","2.14","3.18","6.79","7.01","1800"
"401","-","-","-","6.78","6.99","1796"
"400","-","-","3.17","6.77","6.97","1792"
"399","-","2.13","-","6.76","6.96","1788"
"398","1.14","-","3.16","6.75","6.94","1784"
"397","-","2.12","-","6.74","6.92","1780"
"396","-","-","3.15","6.73","6.91","1776"
"395","-","-","-","6.72","6.89","1772"
"394","-","2.11","3.14","6.71","6.88","1768"
"393","-","-","-","6.70","6.86","1764"
"392","-","-","-","6.69","6.84","1760"
"391","-","2.10","3.13","6.68","6.83","1756"
"390","-","-","-","6.67","6.81","1752"
"389","-","-","3.12","6.66","6.79","1748"
"388","1.13","2.09","-","6.65","6.78","1744"
"387","-","-","3.11","6.64","6.76","1740"
"386","-","-","-","6.63","6.75","1736"
"385","-","2.08","3.10","6.62","6.73","1732"
"384","-","-","-","6.61","6.71","1728"
"383","-","-","3.09","6.60","6.70","1724"
"382","-","2.07","-","6.59","6.68","1720"
"381","-","-","3.08","6.58","6.66","1716"
"380","-","-","-","6.57","6.65","1713"
"379","1.12","2.06","3.07","6.55","6.63","1709"
"378","-","-","-","6.54","6.62","1705"
"377","-","-","3.06","6.53","6.60","1701"
"376","-","2.05","-","6.52","6.58","1697"
"375","-","-","3.05","6.51","6.57","1693"
"374","-","-","-","6.50","6.55","1689"
"373","-","2.04","3.04","6.49","6.53","1685"
"372","-","-","-","6.48","6.52","1681"
"371","-","-","3.03","6.47","6.50","1677"
"370","1.11","2.03","-","6.46","6.48","1673"
"369","-","-","3.02","6.45","6.47","1669"
"368","-","-","-","6.44","6.45","1665"
"367","-","2.02","3.01","6.43","6.44","1661"
"366","-","-","-","6.42","6.42","1657"
"365","-","-","3.00","6.41","6.40","1653"
"364","-","2.01","-","6.40","6.39","1649"
"363","-","-","2.99","6.39","6.37","1645"
"362","-","2.00","-","6.38","6.35","1641"
"361","1.10","-","2.98","6.37","6.34","1637"
"360","-","-","-","6.36","6.32","1633"
"359","-","1.99","2.97","6.35","6.31","1629"
"358","-","-","-","6.34","6.29","1625"
"357","-","-","2.96","6.33","6.27","1621"
"356","-","1.98","-","6.31","6.26","1617"
"355","-","-","-","6.30","6.24","1613"
"354","-","-","2.95","6.29","6.22","1609"
"353","-","1.97","-","6.28","6.21","1605"
"352","1.09","-","2.94","6.27","6.19","1601"
"351","-","-","-","6.26","6.18","1597"
"350","-","1.96","2.93","6.25","6.16","1593"
"349","-","-","-","6.24","6.14","1589"
"348","-","-","2.92","6.23","6.13","1585"
"347","-","1.95","-","6.22","6.11","1581"
"346","-","-","2.91","6.21","6.09","1577"
"345","-","-","-","6.20","6.08","1573"
"344","-","1.94","2.90","6.19","6.06","1569"
"343","-","-","-","6.18","6.04","1565"
"342","1.08","-","2.89","6.17","6.03","1561"
"341","-","1.93","-","6.16","6.01","1557"
"340","-","-","2.88","6.15","6.00","1553"
"339","-","-","-","6.14","5.98","1549"
"338","-","1.92","2.87","6.13","5.96","1545"
"337","-","-","-","6.12","5.95","1541"
"336","-","-","2.86","6.11","5.93","1537"
"335","-","1.91","-","6.10","5.91","1533"
"334","-","-","2.85","6.09","5.90","1529"
"333","1.07","-","-","6.07","5.88","1525"
"332","-","1.90","2.84","6.06","5.87","1521"
"331","-","-","-","6.05","5.85","1517"
"330","-","1.89","2.83","6.04","5.83","1513"
"329","-","-","-","6.03","5.82","1509"
"328","-","-","2.82","6.02","5.80","1505"
"327","-","1.88","-","6.01","5.78","1501"
"326","-","-","2.81","6.00","5.77","1497"
"325","-","-","-","5.99","5.75","1493"
"324","1.06","1.87","2.80","5.98","5.73","1489"
"323","-","-","-","5.97","5.72","1485"
"322","-","-","2.79","5.96","5.70","1481"
"321","-","1.86","-","5.95","5.69","1477"
"320","-","-","2.78","5.94","5.67","1473"
"319","-","-","-","5.93","5.65","1469"
"318","-","1.85","2.77","5.92","5.64","1465"
"317","-","-","-","5.91","5.62","1461"
"316","-","-","2.76","5.90","5.60","1457"
"315","1.05","1.84","-","5.89","5.59","1454"
"314","-","-","2.75","5.88","5.57","1450"
"313","-","-","-","5.87","5.56","1446"
"312","-","1.83","-","5.85","5.54","1442"
"311","-","-","2.74","5.84","5.52","1438"
"310","-","-","-","5.83","5.51","1434"
"309","-","1.82","2.73","5.82","5.49","1430"
"308","-","-","-","5.81","5.47","1426"
"307","-","-","2.72","5.80","5.46","1422"
"306","1.04","1.81","-","5.79","5.44","1418"
"305","-","-","2.71","5.78","5.42","1414"
"304","-","-","-","5.77","5.41","1410"
"303","-","1.80","2.70","5.76","5.39","1406"
"302","-","-","-","5.75","5.38","1402"
"301","-","1.79","2.69","5.74","5.36","1398"
"300","-","-","-","5.73","5.34","1394"
"299","-","-","2.68","5.72","5.33","1390"
"298","-","1.78","-","5.71","5.31","1386"
"297","1.03","-","2.67","5.70","5.29","1381"
"296","-","-","-","5.69","5.28","1377"
"295","-","1.77","2.66","5.68","5.26","1373"
"294","-","-","-","5.67","5.24","1369"
"293","-","-","2.65","5.66","5.23","1365"
"292","-","1.76","-","5.64","5.21","1361"
"291","-","-","2.64","5.63","5.20","1357"
"290","-","-","-","5.62","5.18","1353"
"289","-","1.75","2.63","5.61","5.16","1349"
"288","1.02","-","-","5.60","5.15","1345"
"287","-","-","2.62","5.59","5.13","1341"
"286","-","1.74","-","5.58","5.11","1337"
"285","-","-","2.61","5.57","5.10","1333"
"284","-","-","-","5.56","5.08","1329"
"283","-","1.73","2.60","5.55","5.07","1325"
"282","-","-","-","5.54","5.05","1321"
"281","-","-","2.59","5.53","5.03","1317"
"280","-","1.72","-","5.52","5.02","1313"
"279","-","-","2.58","5.51","5.00","1309"
"278","1.01","-","-","5.50","4.98","1305"
"277","-","1.71","2.57","5.49","4.97","1301"
"276","-","-","-","5.48","4.95","1297"
"275","-","1.70","2.56","5.47","4.93","1293"
"274","-","-","-","5.46","4.92","1289"
"273","-","-","2.55","5.44","4.90","1285"
"272","-","1.69","-","5.43","4.89","1281"
"271","-","-","2.54","5.42","4.87","1277"
"270","-","-","-","5.41","4.85","1273"
"269","1.00","1.68","2.53","5.40","4.84","1269"
"268","-","-","-","5.39","4.82","1265"
"267","-","-","2.52","5.38","4.80","1261"
"266","-","1.67","-","5.37","4.79","1257"
"265","-","-","2.51","5.36","4.77","1253"
"264","-","-","-","5.35","4.75","1249"
"263","-","1.66","2.50","5.34","4.74","1245"
"262","-","-","-","5.33","4.72","1241"
"261","-","-","2.49","5.32","4.71","1237"
"260","0.99","1.65","-","5.31","4.69","1233"
"259","-","-","-","5.30","4.67","1229"
"258","-","-","2.48","5.29","4.66","1225"
"257","-","1.64","-","5.28","4.64","1221"
"256","-","-","2.47","5.27","4.62","1217"
"255","-","-","-","5.26","4.61","1213"
"254","-","1.63","2.46","5.24","4.59","1209"
"253","-","-","-","5.23","4.58","1205"
"252","-","-","2.45","5.22","4.56","1201"
"251","0.98","1.62","-","5.21","4.54","1197"
"250","-","-","2.44","5.20","4.53","1193"
"249","-","1.61","-","5.19","4.51","1189"
"248","-","-","2.43","5.18","4.49","1185"
"247","-","-","-","5.17","4.48","1181"
"246","-","1.60","2.42","5.16","4.46","1177"
"245","-","-","-","5.15","4.44","1173"
"244","-","-","2.41","5.14","4.43","1169"
"243","-","1.59","-","5.13","4.41","1165"
"242","0.97","-","2.40","5.12","4.40","1161"
"241","-","-","-","5.11","4.38","1157"
"240","-","1.58","2.39","5.10","4.36","1153"
"239","-","-","-","5.09","4.35","1149"
"238","-","-","2.38","5.08","4.33","1145"
"237","-","1.57","-","5.07","4.31","1141"
"236","-","-","2.37","5.05","4.30","1137"
"235","-","-","-","5.04","4.28","1133"
"234","-","1.56","2.36","5.03","4.26","1129"
"233","0.96","-","-","5.02","4.25","1124"
"232","-","-","2.35","5.01","4.23","1120"
"231","-","1.55","-","5.00","4.22","1116"
"230","-","-","2.34","4.99","4.20","1112"
"229","-","-","-","4.98","4.18","1108"
"228","-","1.54","2.33","4.97","4.17","1104"
"227","-","-","-","4.96","4.15","1100"
"226","-","1.53","2.32","4.95","4.13","1096"
"225","-","-","-","4.94","4.12","1092"
"224","0.95","-","2.31","4.93","4.10","1088"
"223","-","1.52","-","4.92","4.08","1084"
"222","-","-","2.30","4.91","4.07","1080"
"221","-","-","-","4.90","4.05","1076"
"220","-","1.51","2.29","4.89","4.04","1072"
"219","-","-","-","4.88","4.02","1068"
"218","-","-","2.28","4.86","4.00","1064"
"217","-","1.50","-","4.85","3.99","1060"
"216","-","-","2.27","4.84","3.97","1056"
"215","0.94","-","-","4.83","3.95","1052"
"214","-","1.49","2.26","4.82","3.94","1048"
"213","-","-","-","4.81","3.92","1044"
"212","-","-","2.25","4.80","3.90","1040"
"211","-","1.48","-","4.79","3.89","1036"
"210","-","-","2.24","4.78","3.87","1032"
"209","-","-","-","4.77","3.86","1028"
"208","-","1.47","2.23","4.76","3.84","1024"
"207","-","-","-","4.75","3.82","1020"
"206","0.93","-","2.22","4.74","3.81","1016"
"205","-","1.46","-","4.73","3.79","1012"
"204","-","-","2.21","4.72","3.77","1008"
"203","-","1.45","-","4.71","3.76","1003"
"202","-","-","2.20","4.70","3.74","999"
"201","-","-","-","4.68","3.72","995"
"200","-","1.44","2.19","4.67","3.71","991"
"199","-","-","-","4.66","3.69","987"
"198","-","-","2.18","4.65","3.68","983"
"197","0.92","1.43","-","4.64","3.66","979"
"196","-","-","2.17","4.63","3.64","975"
