"Points","100m","100mH","200m","300m","400m","400mH","4x100m","4x200m","4x400m"
"556","14.51","18.18","29.75","48.81","1:09.26","1:18.36","1:00.21","2:08.37","4:51.33"
"555","14.52","18.19","29.76","48.84","1:09.29","1:18.41","1:00.25","2:08.44","4:51.50"
"554","-","18.20","29.78","48.86","1:09.33","1:18.46","1:00.28","2:08.52","4:51.67"
"553","14.53","18.21","29.79","48.89","1:09.37","1:18.50","1:00.32","2:08.59","4:51.84"
"552","14.54","18.22","29.80","48.91","1:09.40","1:18.55","1:00.35","2:08.67","4:52.01"
"551","-","18.23","29.82","48.94","1:09.44","1:18.60","1:00.38","2:08.74","4:52.18"
"550","14.55","18.24","29.83","48.96","1:09.48","1:18.64","1:00.42","2:08.82","4:52.35"
"549","14.56","18.25","29.85","48.99","1:09.51","1:18.69","1:00.45","2:08.89","4:52.52"
"548","-","18.26","29.86","49.02","1:09.55","1:18.74","1:00.49","2:08.97","4:52.69"
"547","14.57","18.27","29.88","49.04","1:09.59","1:18.78","1:00.52","2:09.05","4:52.86"
"546","14.58","18.28","29.89","49.07","1:09.62","1:18.83","1:00.55","2:09.12","4:53.03"
"545","-","18.29","29.90","49.09","1:09.66","1:18.88","1:00.59","2:09.20","4:53.20"
"544","14.59","18.30","29.92","49.12","1:09.70","1:18.92","1:00.62","2:09.27","4:53.37"
"543","14.60","18.31","29.93","49.14","1:09.73","1:18.97","1:00.66","2:09.35","4:53.55"
"542","-","18.33","29.95","49.17","1:09.77","1:19.02","1:00.69","2:09.43","4:53.72"
"541","14.61","18.34","29.96","49.19","1:09.81","1:19.06","1:00.73","2:09.50","4:53.89"
"540","14.62","18.35","29.98","49.22","1:09.85","1:19.11","1:00.76","2:09.58","4:54.06"
"539","-","18.36","29.99","49.25","1:09.88","1:19.16","1:00.80","2:09.66","4:54.23"
"538","14.63","18.37","30.00","49.27","1:09.92","1:19.21","1:00.83","2:09.73","4:54.41"
"537","14.64","18.38","30.02","49.30","1:09.96","1:19.25","1:00.86","2:09.81","4:54.58"
"536","-","18.39","30.03","49.32","1:10.00","1:19.30","1:00.90","2:09.88","4:54.75"
"535","14.65","18.40","30.05","49.35","1:10.03","1:19.35","1:00.93","2:09.96","4:54.92"
"534","14.66","18.41","30.06","49.38","1:10.07","1:19.40","1:00.97","2:10.04","4:55.10"
"533","-","18.42","30.08","49.40","1:10.11","1:19.44","1:01.00","2:10.11","4:55.27"
"532","14.67","18.43","30.09","49.43","1:10.14","1:19.49","1:01.04","2:10.19","4:55.44"
"531","14.68","18.44","30.11","49.45","1:10.18","1:19.54","1:01.07","2:10.27","4:55.62"
"530","14.69","18.46","30.12","49.48","1:10.22","1:19.59","1:01.11","2:10.35","4:55.79"
"529","-","18.47","30.13","49.50","1:10.26","1:19.63","1:01.14","2:10.42","4:55.97"
"528","14.70","18.48","30.15","49.53","1:10.29","1:19.68","1:01.18","2:10.50","4:56.14"
"527","14.71","18.49","30.16","49.56","1:10.33","1:19.73","1:01.21","2:10.58","4:56.31"
"526","-","18.50","30.18","49.58","1:10.37","1:19.78","1:01.25","2:10.65","4:56.49"
"525","14.72","18.51","30.19","49.61","1:10.41","1:19.82","1:01.28","2:10.73","4:56.66"
"524","14.73","18.52","30.21","49.63","1:10.45","1:19.87","1:01.32","2:10.81","4:56.84"
"523","-","18.53","30.22","49.66","1:10.48","1:19.92","1:01.35","2:10.89","4:57.01"
"522","14.74","18.54","30.24","49.69","1:10.52","1:19.97","1:01.39","2:10.96","4:57.19"
"521","14.75","18.55","30.25","49.71","1:10.56","1:20.02","1:01.42","2:11.04","4:57.36"
"520","-","18.56","30.27","49.74","1:10.60","1:20.06","1:01.46","2:11.12","4:57.54"
"519","14.76","18.58","30.28","49.77","1:10.63","1:20.11","1:01.49","2:11.20","4:57.71"
"518","14.77","18.59","30.29","49.79","1:10.67","1:20.16","1:01.53","2:11.27","4:57.89"
"517","14.78","18.60","30.31","49.82","1:10.71","1:20.21","1:01.56","2:11.35","4:58.06"
"516","-","18.61","30.32","49.84","1:10.75","1:20.26","1:01.60","2:11.43","4:58.24"
"515","14.79","18.62","30.34","49.87","1:10.79","1:20.30","1:01.63","2:11.51","4:58.42"
"514","14.80","18.63","30.35","49.90","1:10.82","1:20.35","1:01.67","2:11.59","4:58.59"
"513","-","18.64","30.37","49.92","1:10.86","1:20.40","1:01.70","2:11.67","4:58.77"
"512","14.81","18.65","30.38","49.95","1:10.90","1:20.45","1:01.74","2:11.74","4:58.95"
"511","14.82","18.66","30.40","49.98","1:10.94","1:20.50","1:01.77","2:11.82","4:59.12"
"510","-","18.68","30.41","50.00","1:10.98","1:20.55","1:01.81","2:11.90","4:59.30"
"509","14.83","18.69","30.43","50.03","1:11.02","1:20.59","1:01.85","2:11.98","4:59.48"
"508","14.84","18.70","30.44","50.06","1:11.05","1:20.64","1:01.88","2:12.06","4:59.66"
"507","14.85","18.71","30.46","50.08","1:11.09","1:20.69","1:01.92","2:12.14","4:59.83"
"506","-","18.72","30.47","50.11","1:11.13","1:20.74","1:01.95","2:12.22","5:00.01"
"505","14.86","18.73","30.49","50.14","1:11.17","1:20.79","1:01.99","2:12.29","5:00.19"
"504","14.87","18.74","30.50","50.16","1:11.21","1:20.84","1:02.02","2:12.37","5:00.37"
"503","-","18.75","30.52","50.19","1:11.25","1:20.89","1:02.06","2:12.45","5:00.54"
"502","14.88","18.76","30.53","50.22","1:11.28","1:20.93","1:02.09","2:12.53","5:00.72"
"501","14.89","18.78","30.55","50.24","1:11.32","1:20.98","1:02.13","2:12.61","5:00.90"
"500","14.90","18.79","30.56","50.27","1:11.36","1:21.03","1:02.17","2:12.69","5:01.08"
"499","-","18.80","30.58","50.30","1:11.40","1:21.08","1:02.20","2:12.77","5:01.26"
"498","14.91","18.81","30.59","50.32","1:11.44","1:21.13","1:02.24","2:12.85","5:01.44"
"497","14.92","18.82","30.61","50.35","1:11.48","1:21.18","1:02.27","2:12.93","5:01.62"
"496","-","18.83","30.62","50.38","1:11.52","1:21.23","1:02.31","2:13.01","5:01.80"
"495","14.93","18.84","30.64","50.40","1:11.56","1:21.28","1:02.35","2:13.09","5:01.98"
"494","14.94","18.85","30.65","50.43","1:11.59","1:21.33","1:02.38","2:13.17","5:02.16"
"493","14.95","18.87","30.67","50.46","1:11.63","1:21.38","1:02.42","2:13.25","5:02.34"
"492","-","18.88","30.68","50.48","1:11.67","1:21.43","1:02.45","2:13.33","5:02.52"
"491","14.96","18.89","30.70","50.51","1:11.71","1:21.48","1:02.49","2:13.41","5:02.70"
"490","14.97","18.90","30.71","50.54","1:11.75","1:21.52","1:02.53","2:13.49","5:02.88"
"489","-","18.91","30.73","50.56","1:11.79","1:21.57","1:02.56","2:13.57","5:03.06"
"488","14.98","18.92","30.74","50.59","1:11.83","1:21.62","1:02.60","2:13.65","5:03.24"
"487","14.99","18.93","30.76","50.62","1:11.87","1:21.67","1:02.64","2:13.73","5:03.42"
"486","15.00","18.94","30.77","50.65","1:11.91","1:21.72","1:02.67","2:13.81","5:03.60"
"485","-","18.96","30.79","50.67","1:11.95","1:21.77","1:02.71","2:13.89","5:03.79"
"484","15.01","18.97","30.80","50.70","1:11.98","1:21.82","1:02.74","2:13.97","5:03.97"
"483","15.02","18.98","30.82","50.73","1:12.02","1:21.87","1:02.78","2:14.05","5:04.15"
"482","-","18.99","30.83","50.75","1:12.06","1:21.92","1:02.82","2:14.13","5:04.33"
"481","15.03","19.00","30.85","50.78","1:12.10","1:21.97","1:02.85","2:14.21","5:04.51"
"480","15.04","19.01","30.86","50.81","1:12.14","1:22.02","1:02.89","2:14.29","5:04.70"
"479","15.05","19.02","30.88","50.84","1:12.18","1:22.07","1:02.93","2:14.37","5:04.88"
"478","-","19.04","30.89","50.86","1:12.22","1:22.12","1:02.96","2:14.45","5:05.06"
"477","15.06","19.05","30.91","50.89","1:12.26","1:22.17","1:03.00","2:14.54","5:05.24"
"476","15.07","19.06","30.92","50.92","1:12.30","1:22.22","1:03.04","2:14.62","5:05.43"
"475","15.08","19.07","30.94","50.95","1:12.34","1:22.27","1:03.07","2:14.70","5:05.61"
"474","-","19.08","30.95","50.97","1:12.38","1:22.32","1:03.11","2:14.78","5:05.79"
"473","15.09","19.09","30.97","51.00","1:12.42","1:22.37","1:03.15","2:14.86","5:05.98"
"472","15.10","19.10","30.99","51.03","1:12.46","1:22.42","1:03.18","2:14.94","5:06.16"
"471","-","19.12","31.00","51.06","1:12.50","1:22.47","1:03.22","2:15.02","5:06.35"
"470","15.11","19.13","31.02","51.08","1:12.54","1:22.52","1:03.26","2:15.11","5:06.53"
"469","15.12","19.14","31.03","51.11","1:12.58","1:22.57","1:03.29","2:15.19","5:06.72"
"468","15.13","19.15","31.05","51.14","1:12.62","1:22.63","1:03.33","2:15.27","5:06.90"
"467","-","19.16","31.06","51.17","1:12.66","1:22.68","1:03.37","2:15.35","5:07.09"
"466","15.14","19.17","31.08","51.19","1:12.70","1:22.73","1:03.41","2:15.43","5:07.27"
"465","15.15","19.19","31.09","51.22","1:12.74","1:22.78","1:03.44","2:15.52","5:07.46"
"464","15.16","19.20","31.11","51.25","1:12.78","1:22.83","1:03.48","2:15.60","5:07.64"
"463","-","19.21","31.12","51.28","1:12.82","1:22.88","1:03.52","2:15.68","5:07.83"
"462","15.17","19.22","31.14","51.30","1:12.86","1:22.93","1:03.55","2:15.76","5:08.01"
"461","15.18","19.23","31.16","51.33","1:12.90","1:22.98","1:03.59","2:15.85","5:08.20"
"460","15.19","19.24","31.17","51.36","1:12.94","1:23.03","1:03.63","2:15.93","5:08.39"
"459","-","19.26","31.19","51.39","1:12.98","1:23.08","1:03.67","2:16.01","5:08.57"
"458","15.20","19.27","31.20","51.42","1:13.02","1:23.13","1:03.70","2:16.09","5:08.76"
"457","15.21","19.28","31.22","51.44","1:13.06","1:23.19","1:03.74","2:16.18","5:08.95"
"456","15.22","19.29","31.23","51.47","1:13.10","1:23.24","1:03.78","2:16.26","5:09.13"
"455","-","19.30","31.25","51.50","1:13.14","1:23.29","1:03.82","2:16.34","5:09.32"
"454","15.23","19.31","31.26","51.53","1:13.18","1:23.34","1:03.85","2:16.43","5:09.51"
"453","15.24","19.33","31.28","51.56","1:13.22","1:23.39","1:03.89","2:16.51","5:09.70"
"452","-","19.34","31.30","51.58","1:13.26","1:23.44","1:03.93","2:16.59","5:09.89"
"451","15.25","19.35","31.31","51.61","1:13.30","1:23.49","1:03.97","2:16.68","5:10.07"
"450","15.26","19.36","31.33","51.64","1:13.34","1:23.55","1:04.00","2:16.76","5:10.26"
"449","15.27","19.37","31.34","51.67","1:13.38","1:23.60","1:04.04","2:16.84","5:10.45"
"448","-","19.39","31.36","51.70","1:13.43","1:23.65","1:04.08","2:16.93","5:10.64"
"447","15.28","19.40","31.37","51.73","1:13.47","1:23.70","1:04.12","2:17.01","5:10.83"
"446","15.29","19.41","31.39","51.75","1:13.51","1:23.75","1:04.16","2:17.09","5:11.02"
"445","15.30","19.42","31.41","51.78","1:13.55","1:23.80","1:04.19","2:17.18","5:11.21"
"444","-","19.43","31.42","51.81","1:13.59","1:23.86","1:04.23","2:17.26","5:11.40"
"443","15.31","19.44","31.44","51.84","1:13.63","1:23.91","1:04.27","2:17.35","5:11.59"
"442","15.32","19.46","31.45","51.87","1:13.67","1:23.96","1:04.31","2:17.43","5:11.78"
"441","15.33","19.47","31.47","51.90","1:13.71","1:24.01","1:04.35","2:17.52","5:11.97"
"440","15.34","19.48","31.49","51.92","1:13.75","1:24.06","1:04.38","2:17.60","5:12.16"
"439","-","19.49","31.50","51.95","1:13.79","1:24.12","1:04.42","2:17.68","5:12.35"
"438","15.35","19.50","31.52","51.98","1:13.84","1:24.17","1:04.46","2:17.77","5:12.54"
"437","15.36","19.52","31.53","52.01","1:13.88","1:24.22","1:04.50","2:17.85","5:12.73"
"436","15.37","19.53","31.55","52.04","1:13.92","1:24.27","1:04.54","2:17.94","5:12.92"
"435","-","19.54","31.57","52.07","1:13.96","1:24.33","1:04.58","2:18.02","5:13.12"
"434","15.38","19.55","31.58","52.10","1:14.00","1:24.38","1:04.61","2:18.11","5:13.31"
"433","15.39","19.56","31.60","52.12","1:14.04","1:24.43","1:04.65","2:18.19","5:13.50"
"432","15.40","19.58","31.61","52.15","1:14.08","1:24.48","1:04.69","2:18.28","5:13.69"
"431","-","19.59","31.63","52.18","1:14.13","1:24.54","1:04.73","2:18.36","5:13.88"
"430","15.41","19.60","31.65","52.21","1:14.17","1:24.59","1:04.77","2:18.45","5:14.08"
"429","15.42","19.61","31.66","52.24","1:14.21","1:24.64","1:04.81","2:18.54","5:14.27"
"428","15.43","19.62","31.68","52.27","1:14.25","1:24.69","1:04.85","2:18.62","5:14.46"
"427","-","19.64","31.69","52.30","1:14.29","1:24.75","1:04.88","2:18.71","5:14.66"
"426","15.44","19.65","31.71","52.33","1:14.33","1:24.80","1:04.92","2:18.79","5:14.85"
"425","15.45","19.66","31.73","52.35","1:14.38","1:24.85","1:04.96","2:18.88","5:15.04"
"424","15.46","19.67","31.74","52.38","1:14.42","1:24.91","1:05.00","2:18.97","5:15.24"
"423","-","19.69","31.76","52.41","1:14.46","1:24.96","1:05.04","2:19.05","5:15.43"
"422","15.47","19.70","31.78","52.44","1:14.50","1:25.01","1:05.08","2:19.14","5:15.63"
"421","15.48","19.71","31.79","52.47","1:14.54","1:25.07","1:05.12","2:19.22","5:15.82"
"420","15.49","19.72","31.81","52.50","1:14.59","1:25.12","1:05.16","2:19.31","5:16.02"
"419","15.50","19.73","31.82","52.53","1:14.63","1:25.17","1:05.20","2:19.40","5:16.21"
"418","-","19.75","31.84","52.56","1:14.67","1:25.23","1:05.24","2:19.48","5:16.41"
"417","15.51","19.76","31.86","52.59","1:14.71","1:25.28","1:05.27","2:19.57","5:16.60"
"416","15.52","19.77","31.87","52.62","1:14.76","1:25.33","1:05.31","2:19.66","5:16.80"
"415","15.53","19.78","31.89","52.65","1:14.80","1:25.39","1:05.35","2:19.74","5:17.00"
"414","-","19.80","31.91","52.68","1:14.84","1:25.44","1:05.39","2:19.83","5:17.19"
"413","15.54","19.81","31.92","52.71","1:14.88","1:25.50","1:05.43","2:19.92","5:17.39"
"412","15.55","19.82","31.94","52.73","1:14.93","1:25.55","1:05.47","2:20.01","5:17.59"
"411","15.56","19.83","31.96","52.76","1:14.97","1:25.60","1:05.51","2:20.09","5:17.78"
"410","15.57","19.85","31.97","52.79","1:15.01","1:25.66","1:05.55","2:20.18","5:17.98"
"409","-","19.86","31.99","52.82","1:15.05","1:25.71","1:05.59","2:20.27","5:18.18"
"408","15.58","19.87","32.00","52.85","1:15.10","1:25.77","1:05.63","2:20.36","5:18.38"
"407","15.59","19.88","32.02","52.88","1:15.14","1:25.82","1:05.67","2:20.44","5:18.58"
"406","15.60","19.89","32.04","52.91","1:15.18","1:25.87","1:05.71","2:20.53","5:18.77"
"405","15.61","19.91","32.05","52.94","1:15.22","1:25.93","1:05.75","2:20.62","5:18.97"
"404","-","19.92","32.07","52.97","1:15.27","1:25.98","1:05.79","2:20.71","5:19.17"
"403","15.62","19.93","32.09","53.00","1:15.31","1:26.04","1:05.83","2:20.80","5:19.37"
"402","15.63","19.94","32.10","53.03","1:15.35","1:26.09","1:05.87","2:20.89","5:19.57"
"401","15.64","19.96","32.12","53.06","1:15.40","1:26.15","1:05.91","2:20.97","5:19.77"
"400","-","19.97","32.14","53.09","1:15.44","1:26.20","1:05.95","2:21.06","5:19.97"
"399","15.65","19.98","32.15","53.12","1:15.48","1:26.26","1:05.99","2:21.15","5:20.17"
"398","15.66","20.00","32.17","53.15","1:15.53","1:26.31","1:06.03","2:21.24","5:20.37"
"397","15.67","20.01","32.19","53.18","1:15.57","1:26.37","1:06.07","2:21.33","5:20.57"
"396","15.68","20.02","32.20","53.21","1:15.61","1:26.42","1:06.11","2:21.42","5:20.77"
"395","-","20.03","32.22","53.24","1:15.66","1:26.48","1:06.15","2:21.51","5:20.97"
"394","15.69","20.05","32.24","53.27","1:15.70","1:26.53","1:06.19","2:21.60","5:21.17"
"393","15.70","20.06","32.26","53.30","1:15.74","1:26.59","1:06.23","2:21.69","5:21.38"
"392","15.71","20.07","32.27","53.33","1:15.79","1:26.64","1:06.27","2:21.78","5:21.58"
"391","15.72","20.08","32.29","53.36","1:15.83","1:26.70","1:06.31","2:21.86","5:21.78"
"390","-","20.10","32.31","53.39","1:15.87","1:26.75","1:06.35","2:21.95","5:21.98"
"389","15.73","20.11","32.32","53.42","1:15.92","1:26.81","1:06.39","2:22.04","5:22.19"
"388","15.74","20.12","32.34","53.45","1:15.96","1:26.86","1:06.43","2:22.13","5:22.39"
"387","15.75","20.13","32.36","53.48","1:16.01","1:26.92","1:06.47","2:22.22","5:22.59"
"386","15.76","20.15","32.37","53.51","1:16.05","1:26.97","1:06.51","2:22.31","5:22.79"
"385","15.77","20.16","32.39","53.54","1:16.09","1:27.03","1:06.56","2:22.41","5:23.00"
"384","-","20.17","32.41","53.57","1:16.14","1:27.09","1:06.60","2:22.50","5:23.20"
"383","15.78","20.19","32.42","53.60","1:16.18","1:27.14","1:06.64","2:22.59","5:23.41"
"382","15.79","20.20","32.44","53.63","1:16.23","1:27.20","1:06.68","2:22.68","5:23.61"
"381","15.80","20.21","32.46","53.67","1:16.27","1:27.25","1:06.72","2:22.77","5:23.82"
"380","15.81","20.22","32.48","53.70","1:16.32","1:27.31","1:06.76","2:22.86","5:24.02"
"379","-","20.24","32.49","53.73","1:16.36","1:27.37","1:06.80","2:22.95","5:24.23"
"378","15.82","20.25","32.51","53.76","1:16.40","1:27.42","1:06.84","2:23.04","5:24.43"
"377","15.83","20.26","32.53","53.79","1:16.45","1:27.48","1:06.88","2:23.13","5:24.64"
"376","15.84","20.28","32.54","53.82","1:16.49","1:27.54","1:06.93","2:23.22","5:24.84"
"375","15.85","20.29","32.56","53.85","1:16.54","1:27.59","1:06.97","2:23.31","5:25.05"
"374","-","20.30","32.58","53.88","1:16.58","1:27.65","1:07.01","2:23.41","5:25.26"
"373","15.86","20.31","32.60","53.91","1:16.63","1:27.71","1:07.05","2:23.50","5:25.46"
"372","15.87","20.33","32.61","53.94","1:16.67","1:27.76","1:07.09","2:23.59","5:25.67"
"371","15.88","20.34","32.63","53.97","1:16.72","1:27.82","1:07.13","2:23.68","5:25.88"
"370","15.89","20.35","32.65","54.00","1:16.76","1:27.88","1:07.17","2:23.77","5:26.09"
"369","15.90","20.37","32.67","54.04","1:16.81","1:27.93","1:07.22","2:23.87","5:26.30"
"368","-","20.38","32.68","54.07","1:16.85","1:27.99","1:07.26","2:23.96","5:26.50"
"367","15.91","20.39","32.70","54.10","1:16.90","1:28.05","1:07.30","2:24.05","5:26.71"
"366","15.92","20.41","32.72","54.13","1:16.94","1:28.10","1:07.34","2:24.14","5:26.92"
"365","15.93","20.42","32.74","54.16","1:16.99","1:28.16","1:07.38","2:24.24","5:27.13"
"364","15.94","20.43","32.75","54.19","1:17.03","1:28.22","1:07.42","2:24.33","5:27.34"
"363","15.95","20.44","32.77","54.22","1:17.08","1:28.28","1:07.47","2:24.42","5:27.55"
"362","-","20.46","32.79","54.25","1:17.12","1:28.33","1:07.51","2:24.52","5:27.76"
"361","15.96","20.47","32.81","54.29","1:17.17","1:28.39","1:07.55","2:24.61","5:27.97"
"360","15.97","20.48","32.82","54.32","1:17.21","1:28.45","1:07.59","2:24.70","5:28.18"
"359","15.98","20.50","32.84","54.35","1:17.26","1:28.51","1:07.64","2:24.80","5:28.39"
"358","15.99","20.51","32.86","54.38","1:17.30","1:28.56","1:07.68","2:24.89","5:28.60"
"357","16.00","20.52","32.88","54.41","1:17.35","1:28.62","1:07.72","2:24.98","5:28.82"
"356","-","20.54","32.89","54.44","1:17.40","1:28.68","1:07.76","2:25.08","5:29.03"
"355","16.01","20.55","32.91","54.48","1:17.44","1:28.74","1:07.81","2:25.17","5:29.24"
"354","16.02","20.56","32.93","54.51","1:17.49","1:28.80","1:07.85","2:25.27","5:29.45"
"353","16.03","20.58","32.95","54.54","1:17.53","1:28.85","1:07.89","2:25.36","5:29.66"
"352","16.04","20.59","32.96","54.57","1:17.58","1:28.91","1:07.93","2:25.45","5:29.88"
"351","16.05","20.60","32.98","54.60","1:17.63","1:28.97","1:07.98","2:25.55","5:30.09"
"350","16.06","20.62","33.00","54.63","1:17.67","1:29.03","1:08.02","2:25.64","5:30.30"
"349","-","20.63","33.02","54.67","1:17.72","1:29.09","1:08.06","2:25.74","5:30.52"
"348","16.07","20.64","33.04","54.70","1:17.76","1:29.15","1:08.10","2:25.83","5:30.73"
"347","16.08","20.66","33.05","54.73","1:17.81","1:29.21","1:08.15","2:25.93","5:30.95"
"346","16.09","20.67","33.07","54.76","1:17.86","1:29.26","1:08.19","2:26.02","5:31.16"
"345","16.10","20.68","33.09","54.79","1:17.90","1:29.32","1:08.23","2:26.12","5:31.38"
"344","16.11","20.70","33.11","54.83","1:17.95","1:29.38","1:08.28","2:26.21","5:31.59"
"343","-","20.71","33.13","54.86","1:18.00","1:29.44","1:08.32","2:26.31","5:31.81"
"342","16.12","20.73","33.14","54.89","1:18.04","1:29.50","1:08.36","2:26.41","5:32.03"
"341","16.13","20.74","33.16","54.92","1:18.09","1:29.56","1:08.41","2:26.50","5:32.24"
"340","16.14","20.75","33.18","54.96","1:18.14","1:29.62","1:08.45","2:26.60","5:32.46"
"339","16.15","20.77","33.20","54.99","1:18.18","1:29.68","1:08.49","2:26.69","5:32.68"
"338","16.16","20.78","33.22","55.02","1:18.23","1:29.74","1:08.54","2:26.79","5:32.89"
"337","16.17","20.79","33.23","55.05","1:18.28","1:29.80","1:08.58","2:26.89","5:33.11"
"336","16.18","20.81","33.25","55.09","1:18.33","1:29.86","1:08.62","2:26.98","5:33.33"
"335","-","20.82","33.27","55.12","1:18.37","1:29.92","1:08.67","2:27.08","5:33.55"
"334","16.19","20.83","33.29","55.15","1:18.42","1:29.98","1:08.71","2:27.18","5:33.77"
"333","16.20","20.85","33.31","55.18","1:18.47","1:30.04","1:08.76","2:27.27","5:33.99"
"332","16.21","20.86","33.33","55.22","1:18.51","1:30.10","1:08.80","2:27.37","5:34.20"
"331","16.22","20.88","33.34","55.25","1:18.56","1:30.16","1:08.84","2:27.47","5:34.42"
"330","16.23","20.89","33.36","55.28","1:18.61","1:30.22","1:08.89","2:27.57","5:34.64"
"329","16.24","20.90","33.38","55.32","1:18.66","1:30.28","1:08.93","2:27.66","5:34.86"
"328","-","20.92","33.40","55.35","1:18.70","1:30.34","1:08.98","2:27.76","5:35.09"
"327","16.25","20.93","33.42","55.38","1:18.75","1:30.40","1:09.02","2:27.86","5:35.31"
"326","16.26","20.94","33.44","55.41","1:18.80","1:30.46","1:09.06","2:27.96","5:35.53"
"325","16.27","20.96","33.46","55.45","1:18.85","1:30.52","1:09.11","2:28.06","5:35.75"
"324","16.28","20.97","33.47","55.48","1:18.90","1:30.58","1:09.15","2:28.16","5:35.97"
"323","16.29","20.99","33.49","55.51","1:18.94","1:30.64","1:09.20","2:28.25","5:36.19"
"322","16.30","21.00","33.51","55.55","1:18.99","1:30.70","1:09.24","2:28.35","5:36.42"
"321","16.31","21.01","33.53","55.58","1:19.04","1:30.76","1:09.29","2:28.45","5:36.64"
"320","16.32","21.03","33.55","55.61","1:19.09","1:30.83","1:09.33","2:28.55","5:36.86"
"319","-","21.04","33.57","55.65","1:19.14","1:30.89","1:09.38","2:28.65","5:37.09"
"318","16.33","21.06","33.59","55.68","1:19.19","1:30.95","1:09.42","2:28.75","5:37.31"
"317","16.34","21.07","33.60","55.71","1:19.23","1:31.01","1:09.47","2:28.85","5:37.54"
"316","16.35","21.08","33.62","55.75","1:19.28","1:31.07","1:09.51","2:28.95","5:37.76"
"315","16.36","21.10","33.64","55.78","1:19.33","1:31.13","1:09.56","2:29.05","5:37.99"
"314","16.37","21.11","33.66","55.82","1:19.38","1:31.19","1:09.60","2:29.15","5:38.21"
"313","16.38","21.13","33.68","55.85","1:19.43","1:31.26","1:09.65","2:29.25","5:38.44"
"312","16.39","21.14","33.70","55.88","1:19.48","1:31.32","1:09.69","2:29.35","5:38.66"
"311","16.40","21.16","33.72","55.92","1:19.53","1:31.38","1:09.74","2:29.45","5:38.89"
"310","-","21.17","33.74","55.95","1:19.58","1:31.44","1:09.78","2:29.55","5:39.12"
"309","16.41","21.18","33.76","55.98","1:19.62","1:31.50","1:09.83","2:29.65","5:39.35"
"308","16.42","21.20","33.77","56.02","1:19.67","1:31.57","1:09.87","2:29.75","5:39.57"
"307","16.43","21.21","33.79","56.05","1:19.72","1:31.63","1:09.92","2:29.85","5:39.80"
"306","16.44","21.23","33.81","56.09","1:19.77","1:31.69","1:09.97","2:29.95","5:40.03"
"305","16.45","21.24","33.83","56.12","1:19.82","1:31.75","1:10.01","2:30.06","5:40.26"
"304","16.46","21.26","33.85","56.16","1:19.87","1:31.82","1:10.06","2:30.16","5:40.49"
"303","16.47","21.27","33.87","56.19","1:19.92","1:31.88","1:10.10","2:30.26","5:40.72"
"302","16.48","21.28","33.89","56.22","1:19.97","1:31.94","1:10.15","2:30.36","5:40.95"
"301","16.49","21.30","33.91","56.26","1:20.02","1:32.01","1:10.20","2:30.46","5:41.18"
"300","16.50","21.31","33.93","56.29","1:20.07","1:32.07","1:10.24","2:30.57","5:41.41"
"299","-","21.33","33.95","56.33","1:20.12","1:32.13","1:10.29","2:30.67","5:41.64"
"298","16.51","21.34","33.97","56.36","1:20.17","1:32.20","1:10.33","2:30.77","5:41.87"
"297","16.52","21.36","33.99","56.40","1:20.22","1:32.26","1:10.38","2:30.87","5:42.10"
"296","16.53","21.37","34.00","56.43","1:20.27","1:32.32","1:10.43","2:30.98","5:42.34"
"295","16.54","21.39","34.02","56.47","1:20.32","1:32.39","1:10.47","2:31.08","5:42.57"
"294","16.55","21.40","34.04","56.50","1:20.37","1:32.45","1:10.52","2:31.18","5:42.80"
"293","16.56","21.41","34.06","56.54","1:20.42","1:32.51","1:10.57","2:31.29","5:43.04"
"292","16.57","21.43","34.08","56.57","1:20.47","1:32.58","1:10.61","2:31.39","5:43.27"
"291","16.58","21.44","34.10","56.61","1:20.52","1:32.64","1:10.66","2:31.49","5:43.50"
"290","16.59","21.46","34.12","56.64","1:20.57","1:32.71","1:10.71","2:31.60","5:43.74"
"289","16.60","21.47","34.14","56.68","1:20.62","1:32.77","1:10.76","2:31.70","5:43.97"
"288","16.61","21.49","34.16","56.71","1:20.67","1:32.84","1:10.80","2:31.81","5:44.21"
"287","16.62","21.50","34.18","56.75","1:20.73","1:32.90","1:10.85","2:31.91","5:44.44"
"286","16.63","21.52","34.20","56.78","1:20.78","1:32.96","1:10.90","2:32.02","5:44.68"
"285","-","21.53","34.22","56.82","1:20.83","1:33.03","1:10.94","2:32.12","5:44.92"
"284","16.64","21.55","34.24","56.85","1:20.88","1:33.09","1:10.99","2:32.23","5:45.16"
"283","16.65","21.56","34.26","56.89","1:20.93","1:33.16","1:11.04","2:32.33","5:45.39"
"282","16.66","21.58","34.28","56.92","1:20.98","1:33.22","1:11.09","2:32.44","5:45.63"
"281","16.67","21.59","34.30","56.96","1:21.03","1:33.29","1:11.14","2:32.54","5:45.87"
"280","16.68","21.61","34.32","56.99","1:21.08","1:33.35","1:11.18","2:32.65","5:46.11"
"279","16.69","21.62","34.34","57.03","1:21.14","1:33.42","1:11.23","2:32.75","5:46.35"
"278","16.70","21.64","34.36","57.07","1:21.19","1:33.49","1:11.28","2:32.86","5:46.59"
"277","16.71","21.65","34.38","57.10","1:21.24","1:33.55","1:11.33","2:32.97","5:46.83"
"276","16.72","21.67","34.40","57.14","1:21.29","1:33.62","1:11.38","2:33.07","5:47.07"
