"Points","100m","100mH","200m","300m","400m","400mH","4x100m","4x200m","4x400m"
"971","-","14.38","24.68","39.75","56.16","1:01.76","48.07","1:41.48","3:50.67"
"970","12.11","-","24.69","39.77","56.18","1:01.80","48.09","1:41.54","3:50.80"
"969","-","14.39","24.71","39.79","56.21","1:01.83","48.12","1:41.59","3:50.93"
"968","12.12","14.40","24.72","39.81","56.24","1:01.87","48.14","1:41.65","3:51.05"
"967","-","14.41","24.73","39.83","56.27","1:01.90","48.17","1:41.71","3:51.18"
"966","12.13","14.42","24.74","39.85","56.30","1:01.94","48.19","1:41.76","3:51.31"
"965","-","-","24.75","39.87","56.32","1:01.97","48.22","1:41.82","3:51.44"
"964","12.14","14.43","24.76","39.89","56.35","1:02.01","48.25","1:41.88","3:51.57"
"963","-","14.44","24.77","39.90","56.38","1:02.04","48.27","1:41.93","3:51.70"
"962","12.15","14.45","24.78","39.92","56.41","1:02.08","48.30","1:41.99","3:51.83"
"961","-","14.46","24.79","39.94","56.44","1:02.12","48.32","1:42.05","3:51.96"
"960","12.16","-","24.80","39.96","56.46","1:02.15","48.35","1:42.11","3:52.08"
"959","-","14.47","24.81","39.98","56.49","1:02.19","48.38","1:42.16","3:52.21"
"958","12.17","14.48","24.82","40.00","56.52","1:02.22","48.40","1:42.22","3:52.34"
"957","-","14.49","24.83","40.02","56.55","1:02.26","48.43","1:42.28","3:52.47"
"956","12.18","14.50","24.85","40.04","56.57","1:02.29","48.45","1:42.34","3:52.60"
"955","-","-","24.86","40.06","56.60","1:02.33","48.48","1:42.39","3:52.73"
"954","12.19","14.51","24.87","40.08","56.63","1:02.36","48.50","1:42.45","3:52.86"
"953","-","14.52","24.88","40.10","56.66","1:02.40","48.53","1:42.51","3:52.99"
"952","12.20","14.53","24.89","40.12","56.69","1:02.43","48.56","1:42.57","3:53.12"
"951","-","14.54","24.90","40.14","56.71","1:02.47","48.58","1:42.62","3:53.25"
"950","12.21","14.55","24.91","40.16","56.74","1:02.51","48.61","1:42.68","3:53.38"
"949","-","-","24.92","40.17","56.77","1:02.54","48.63","1:42.74","3:53.51"
"948","12.22","14.56","24.93","40.19","56.80","1:02.58","48.66","1:42.80","3:53.64"
"947","-","14.57","24.94","40.21","56.83","1:02.61","48.69","1:42.85","3:53.77"
"946","12.23","14.58","24.95","40.23","56.85","1:02.65","48.71","1:42.91","3:53.90"
"945","-","14.59","24.96","40.25","56.88","1:02.68","48.74","1:42.97","3:54.03"
"944","12.24","-","24.98","40.27","56.91","1:02.72","48.76","1:43.03","3:54.16"
"943","12.25","14.60","24.99","40.29","56.94","1:02.75","48.79","1:43.08","3:54.29"
"942","-","14.61","25.00","40.31","56.97","1:02.79","48.82","1:43.14","3:54.42"
"941","12.26","14.62","25.01","40.33","57.00","1:02.83","48.84","1:43.20","3:54.55"
"940","-","14.63","25.02","40.35","57.02","1:02.86","48.87","1:43.26","3:54.68"
"939","12.27","-","25.03","40.37","57.05","1:02.90","48.90","1:43.32","3:54.81"
"938","-","14.64","25.04","40.39","57.08","1:02.93","48.92","1:43.37","3:54.94"
"937","12.28","14.65","25.05","40.41","57.11","1:02.97","48.95","1:43.43","3:55.07"
"936","-","14.66","25.06","40.43","57.14","1:03.00","48.97","1:43.49","3:55.20"
"935","12.29","14.67","25.07","40.45","57.16","1:03.04","49.00","1:43.55","3:55.33"
"934","-","14.68","25.08","40.47","57.19","1:03.08","49.03","1:43.60","3:55.46"
"933","12.30","-","25.10","40.49","57.22","1:03.11","49.05","1:43.66","3:55.60"
"932","-","14.69","25.11","40.51","57.25","1:03.15","49.08","1:43.72","3:55.73"
"931","12.31","14.70","25.12","40.53","57.28","1:03.18","49.10","1:43.78","3:55.86"
"930","-","14.71","25.13","40.55","57.31","1:03.22","49.13","1:43.84","3:55.99"
"929","12.32","14.72","25.14","40.57","57.33","1:03.26","49.16","1:43.90","3:56.12"
"928","-","14.73","25.15","40.58","57.36","1:03.29","49.18","1:43.95","3:56.25"
"927","12.33","-","25.16","40.60","57.39","1:03.33","49.21","1:44.01","3:56.38"
"926","-","14.74","25.17","40.62","57.42","1:03.36","49.24","1:44.07","3:56.51"
"925","12.34","14.75","25.18","40.64","57.45","1:03.40","49.26","1:44.13","3:56.65"
"924","-","14.76","25.19","40.66","57.48","1:03.44","49.29","1:44.19","3:56.78"
"923","12.35","14.77","25.20","40.68","57.50","1:03.47","49.32","1:44.24","3:56.91"
"922","-","-","25.22","40.70","57.53","1:03.51","49.34","1:44.30","3:57.04"
"921","12.36","14.78","25.23","40.72","57.56","1:03.54","49.37","1:44.36","3:57.17"
"920","-","14.79","25.24","40.74","57.59","1:03.58","49.39","1:44.42","3:57.30"
"919","12.37","14.80","25.25","40.76","57.62","1:03.62","49.42","1:44.48","3:57.44"
"918","12.38","14.81","25.26","40.78","57.65","1:03.65","49.45","1:44.54","3:57.57"
"917","-","14.82","25.27","40.80","57.68","1:03.69","49.47","1:44.60","3:57.70"
"916","12.39","-","25.28","40.82","57.70","1:03.72","49.50","1:44.65","3:57.83"
"915","-","14.83","25.29","40.84","57.73","1:03.76","49.53","1:44.71","3:57.96"
"914","12.40","14.84","25.30","40.86","57.76","1:03.80","49.55","1:44.77","3:58.10"
"913","-","14.85","25.32","40.88","57.79","1:03.83","49.58","1:44.83","3:58.23"
"912","12.41","14.86","25.33","40.90","57.82","1:03.87","49.61","1:44.89","3:58.36"
"911","-","14.87","25.34","40.92","57.85","1:03.90","49.63","1:44.95","3:58.49"
"910","12.42","-","25.35","40.94","57.88","1:03.94","49.66","1:45.01","3:58.63"
"909","-","14.88","25.36","40.96","57.90","1:03.98","49.69","1:45.07","3:58.76"
"908","12.43","14.89","25.37","40.98","57.93","1:04.01","49.71","1:45.12","3:58.89"
"907","-","14.90","25.38","41.00","57.96","1:04.05","49.74","1:45.18","3:59.02"
"906","12.44","14.91","25.39","41.02","57.99","1:04.09","49.77","1:45.24","3:59.16"
"905","-","14.92","25.40","41.04","58.02","1:04.12","49.79","1:45.30","3:59.29"
"904","12.45","-","25.41","41.06","58.05","1:04.16","49.82","1:45.36","3:59.42"
"903","-","14.93","25.43","41.08","58.08","1:04.20","49.85","1:45.42","3:59.56"
"902","12.46","14.94","25.44","41.10","58.11","1:04.23","49.87","1:45.48","3:59.69"
"901","-","14.95","25.45","41.12","58.13","1:04.27","49.90","1:45.54","3:59.82"
"900","12.47","14.96","25.46","41.14","58.16","1:04.31","49.93","1:45.60","3:59.96"
"899","12.48","14.97","25.47","41.16","58.19","1:04.34","49.95","1:45.66","4:00.09"
"898","-","-","25.48","41.18","58.22","1:04.38","49.98","1:45.71","4:00.22"
